编号	名字	场景类型	地图编号	主城编号	进入点X	进入点Y	下线后保留坐标	安全区域中心点X	安全区域中心点Y	安全区域宽度	安全区域高度	可视范围	玩家数量限制	玩家摆摊个数	玩家最小等级限制	玩家最大等级限制	玩家最小转生	玩家最大转生	经验掉落比例	金钱掉落比例	物品掉落比例	物品存活时间(秒)	物品保护时间(秒)	场景生命周期(秒)	可否吃药	可否使用特殊道具	是否收益等级衰减	玩家进入提示信息	玩家进入对话脚本
5038	无双·大秘境三十八层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第38层	0
5039	无双·大秘境三十九层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第39层	0
5040	无双·大秘境四十层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第40层	0
5041	无双·大秘境四十一层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第41层	0
5042	无双·大秘境四十二层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第42层	0
5043	无双·大秘境四十三层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5044	无双·大秘境四十四层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第44层	0
5045	无双·大秘境四十五层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第45层	0
5046	无双·大秘境四十六层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第46层	0
5047	无双·大秘境四十七层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第47层	0
5048	无双·大秘境四十八层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第48层	0
5049	无双·大秘境四十九层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	160	160	160	120	30	900	1	1	0	Y挑战大秘境成功，进入第49层	0
5050	无双·大秘境五十层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	170	170	170	120	30	900	1	1	0	Y挑战大秘境成功，进入第50层	0
5505	奖励关第一层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5510	奖励关第二层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5515	奖励关第三层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5520	奖励关第四层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5525	奖励关第五层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5530	奖励关第六层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5535	奖励关第七层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5540	奖励关第八层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5545	奖励关第九层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5550	奖励关第十层	2	151	3	24	42	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
4008	王者之殿	2	52	3	87	25	0	0	0	0	0	12	1	0	110	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3040	避难所	2	15	3	12	15	0	0	0	0	0	12	1	50	96	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3050	西西里岛	2	129	3	62	142	0	0	0	0	0	12	6	50	108	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
3060	普罗之殿	1	145	3	25	34	0	0	0	0	0	12	255	50	120	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
3061	新迪岛(600年前)	1	29	3	35	40	0	35	40	999	999	100	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
3062	那舍岛(600年前)	2	152	3	13	70	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	120	30	10800	1	1	1	0	0
1500	勇士·深渊	2	155	3	34	50	0	0	0	0	0	100	255	0	0	10000	0	100	100	100	75	1200	30	10800	0	0	0	Y开始挑战深渊，祝他好运吧！	0
1600	王者·深渊	2	155	3	34	50	0	0	0	0	0	100	255	0	0	10000	0	100	150	150	125	1200	30	10800	0	0	0	0	0
300	自由比武场	5	147	3	36	50	0	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
