编号	名字	等级需求	转生需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼费用	升级费用	种族要求	套装编号	套装功能1	套装参数1	套装功能2	套装参数2	套装功能3	套装参数3	套装功能4	套装参数4	套装加成技能	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
1241050307	深渊·自然之杖+7	85	1	14	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	8000	0	0	1	203	4	340	2	110	0	0	0	0	95010501	0	0	1467	1701	1761	3369	-500	-500	29	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050308	深渊·自然之杖+8	85	1	15	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	8500	0	0	1	203	4	350	2	113	0	0	0	0	95010501	0	0	1503	1737	1821	3429	-500	-500	30	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050309	深渊·自然之杖+9	85	1	15	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	9000	0	0	1	203	4	360	2	116	0	0	0	0	95010501	0	0	1539	1773	1881	3489	-500	-500	31	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050310	深渊·自然之杖+10	85	1	16	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	0	0	0	1	203	4	370	2	119	0	0	0	0	95010501	0	0	1575	1809	1941	3549	-500	-500	32	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050400	深渊·魔印之杖	110	1	14	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	10000	0	0	1	204	4	340	2	110	0	0	0	0	95010111	0	0	1521	1821	1653	3981	-500	-500	33	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050401	深渊·魔印之杖+1	110	1	14	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	11000	0	0	1	204	4	350	2	113	0	0	0	0	95010111	0	0	1557	1857	1713	4041	-500	-500	34	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050402	深渊·魔印之杖+2	110	1	14	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	12000	0	0	1	204	4	360	2	116	0	0	0	0	95010111	0	0	1593	1893	1773	4101	-500	-500	35	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050403	深渊·魔印之杖+3	110	1	14	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	13000	0	0	1	204	4	370	2	119	0	0	0	0	95010111	0	0	1629	1929	1833	4161	-500	-500	36	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050404	深渊·魔印之杖+4	110	1	15	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	14000	0	0	1	204	4	380	2	122	0	0	0	0	95010111	0	0	1665	1965	1893	4221	-500	-500	37	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050405	深渊·魔印之杖+5	110	1	15	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	15000	0	0	1	204	4	390	2	125	0	0	0	0	95010111	0	0	1701	2001	1953	4281	-500	-500	38	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050406	深渊·魔印之杖+6	110	1	15	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	16000	0	0	1	204	4	400	2	128	0	0	0	0	95010111	0	0	1737	2037	2013	4341	-500	-500	39	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050407	深渊·魔印之杖+7	110	1	15	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	17000	0	0	1	204	4	410	2	131	0	0	0	0	95010111	0	0	1773	2073	2073	4401	-500	-500	40	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050408	深渊·魔印之杖+8	110	1	16	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	18000	0	0	1	204	4	420	2	134	0	0	0	0	95010111	0	0	1809	2109	2133	4461	-500	-500	41	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050409	深渊·魔印之杖+9	110	1	16	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	19000	0	0	1	204	4	430	2	137	0	0	0	0	95010111	0	0	1845	2145	2193	4521	-500	-500	42	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050410	深渊·魔印之杖+10	110	1	17	10	5	1	0	当穿齐全套深渊·魔印套装后，会增加爆弹术技能等级1	1	以刻印引导无穷魔力	0	0	0	1	204	4	440	2	140	0	0	0	0	95010111	0	0	1881	2181	2253	4581	-500	-500	43	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050500	深渊·星辰之杖	130	1	15	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	15000	0	0	1	205	4	410	2	130	0	0	0	0	95010111	0	0	1788	2118	1863	4776	-500	-500	29	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050501	深渊·星辰之杖+1	130	1	15	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	17000	0	0	1	205	4	420	2	134	0	0	0	0	95010111	0	0	1824	2154	1923	4836	-500	-500	30	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050502	深渊·星辰之杖+2	130	1	15	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	19000	0	0	1	205	4	430	2	138	0	0	0	0	95010111	0	0	1860	2190	1983	4896	-500	-500	31	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050503	深渊·星辰之杖+3	130	1	15	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	21000	0	0	1	205	4	440	2	142	0	0	0	0	95010111	0	0	1896	2226	2043	4956	-500	-500	32	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050504	深渊·星辰之杖+4	130	1	16	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	23000	0	0	1	205	4	450	2	146	0	0	0	0	95010111	0	0	1932	2262	2103	5016	-500	-500	33	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050505	深渊·星辰之杖+5	130	1	16	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	25000	0	0	1	205	4	460	2	150	0	0	0	0	95010111	0	0	1968	2298	2163	5076	-500	-500	34	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050506	深渊·星辰之杖+6	130	1	16	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	27000	0	0	1	205	4	470	2	154	0	0	0	0	95010111	0	0	2004	2334	2223	5136	-500	-500	35	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050507	深渊·星辰之杖+7	130	1	16	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	29000	0	0	1	205	4	480	2	158	0	0	0	0	95010111	0	0	2040	2370	2283	5196	-500	-500	36	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050508	深渊·星辰之杖+8	130	1	17	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	31000	0	0	1	205	4	490	2	162	0	0	0	0	95010111	0	0	2076	2406	2343	5256	-500	-500	37	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050509	深渊·星辰之杖+9	130	1	17	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	33000	0	0	1	205	4	500	2	166	0	0	0	0	95010111	0	0	2112	2442	2403	5316	-500	-500	38	2	0	0	0	0	0	0	0	0	0	0	0	0
1241050510	深渊·星辰之杖+10	130	1	18	12	5	1	0	当穿齐全套深渊·星辰套装后，会增加爆弹术技能等级1	1	深渊·星辰之力创造万物、改变万物	0	0	0	1	205	4	510	2	170	0	0	0	0	95010111	0	0	2148	2478	2463	5376	-500	-500	39	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050100	深渊·诞生之剑	30	1	11	1	5	1	0		1	庆祝重生的仪式之剑	1200	0	0	2	301	4	130	8	6	1	52	0	0	0	0	0	744	1236	243	279	-500	-500	5	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050101	深渊·诞生之剑+1	30	1	11	1	5	1	0		1	庆祝重生的仪式之剑	1300	0	0	2	301	4	140	8	8	1	55	0	0	0	0	0	804	1296	279	315	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050102	深渊·诞生之剑+2	30	1	11	1	5	1	0		1	庆祝重生的仪式之剑	1400	0	0	2	301	4	150	8	10	1	58	0	0	0	0	0	864	1356	315	351	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050103	深渊·诞生之剑+3	30	1	11	1	5	1	0		1	庆祝重生的仪式之剑	1500	0	0	2	301	4	160	8	12	1	61	0	0	0	0	0	924	1416	351	387	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050104	深渊·诞生之剑+4	30	1	12	1	5	1	0		1	庆祝重生的仪式之剑	1600	0	0	2	301	4	170	8	14	1	64	0	0	0	0	0	984	1476	387	423	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050105	深渊·诞生之剑+5	30	1	12	1	5	1	0		1	庆祝重生的仪式之剑	1700	0	0	2	301	4	180	8	16	1	67	0	0	0	0	0	1044	1536	423	459	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050106	深渊·诞生之剑+6	30	1	12	1	5	1	0		1	庆祝重生的仪式之剑	1800	0	0	2	301	4	190	8	18	1	70	0	0	0	0	0	1104	1596	459	495	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050107	深渊·诞生之剑+7	30	1	12	1	5	1	0		1	庆祝重生的仪式之剑	1900	0	0	2	301	4	200	8	20	1	73	0	0	0	0	0	1164	1656	495	531	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050108	深渊·诞生之剑+8	30	1	13	1	5	1	0		1	庆祝重生的仪式之剑	2000	0	0	2	301	4	210	8	22	1	76	0	0	0	0	0	1224	1716	531	567	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050109	深渊·诞生之剑+9	30	1	13	1	5	1	0		1	庆祝重生的仪式之剑	2100	0	0	2	301	4	220	8	24	1	79	0	0	0	0	0	1284	1776	567	603	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050110	深渊·诞生之剑+10	30	1	14	1	5	1	0		1	庆祝重生的仪式之剑	0	0	0	2	301	4	230	8	26	1	82	0	0	0	0	0	1344	1836	603	639	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050200	深渊·守护之剑	60	1	12	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	2200	0	0	2	302	4	200	1	74	0	0	0	0	95020401	0	0	1110	2520	321	444	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050201	深渊·守护之剑+1	60	1	12	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	2400	0	0	2	302	4	210	1	77	0	0	0	0	95020401	0	0	1170	2580	357	480	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050202	深渊·守护之剑+2	60	1	12	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	2600	0	0	2	302	4	220	1	80	0	0	0	0	95020401	0	0	1230	2640	393	516	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050203	深渊·守护之剑+3	60	1	12	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	2800	0	0	2	302	4	230	1	83	0	0	0	0	95020401	0	0	1290	2700	429	552	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050204	深渊·守护之剑+4	60	1	13	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	3000	0	0	2	302	4	240	1	86	0	0	0	0	95020401	0	0	1350	2760	465	588	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050205	深渊·守护之剑+5	60	1	13	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	3200	0	0	2	302	4	250	1	89	0	0	0	0	95020401	0	0	1410	2820	501	624	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050206	深渊·守护之剑+6	60	1	13	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	3400	0	0	2	302	4	260	1	92	0	0	0	0	95020401	0	0	1470	2880	537	660	-500	-500	16	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050207	深渊·守护之剑+7	60	1	13	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	3600	0	0	2	302	4	270	1	95	0	0	0	0	95020401	0	0	1530	2940	573	696	-500	-500	17	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050208	深渊·守护之剑+8	60	1	14	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	3800	0	0	2	302	4	280	1	98	0	0	0	0	95020401	0	0	1590	3000	609	732	-500	-500	18	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050209	深渊·守护之剑+9	60	1	14	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	4000	0	0	2	302	4	290	1	101	0	0	0	0	95020401	0	0	1650	3060	645	768	-500	-500	19	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050210	深渊·守护之剑+10	60	1	15	4	5	1	0	当穿齐深渊·守护套装后，会增加旋风斩技能等级1	1	“吾名为深渊·守护，吾心是忠诚”	0	0	0	2	302	4	300	1	104	0	0	0	0	95020401	0	0	1710	3120	681	804	-500	-500	20	1	0	0	0	0	0	0	0	0	0	0	0	0
1242050300	深渊·激流之剑	85	1	13	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	4500	0	0	2	303	4	270	1	117	0	0	0	0	95020401	0	0	1764	4128	561	729	-500	-500	22	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050301	深渊·激流之剑+1	85	1	13	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	5000	0	0	2	303	4	280	1	120	0	0	0	0	95020401	0	0	1824	4188	597	765	-500	-500	23	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050302	深渊·激流之剑+2	85	1	13	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	5500	0	0	2	303	4	290	1	123	0	0	0	0	95020401	0	0	1884	4248	633	801	-500	-500	24	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050303	深渊·激流之剑+3	85	1	13	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	6000	0	0	2	303	4	300	1	126	0	0	0	0	95020401	0	0	1944	4308	669	837	-500	-500	25	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050304	深渊·激流之剑+4	85	1	14	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	6500	0	0	2	303	4	310	1	129	0	0	0	0	95020401	0	0	2004	4368	705	873	-500	-500	26	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050305	深渊·激流之剑+5	85	1	14	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	7000	0	0	2	303	4	320	1	132	0	0	0	0	95020401	0	0	2064	4428	741	909	-500	-500	27	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050306	深渊·激流之剑+6	85	1	14	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	7500	0	0	2	303	4	330	1	135	0	0	0	0	95020401	0	0	2124	4488	777	945	-500	-500	28	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050307	深渊·激流之剑+7	85	1	14	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	8000	0	0	2	303	4	340	1	138	0	0	0	0	95020401	0	0	2184	4548	813	981	-500	-500	29	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050308	深渊·激流之剑+8	85	1	15	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	8500	0	0	2	303	4	350	1	141	0	0	0	0	95020401	0	0	2244	4608	849	1017	-500	-500	30	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050309	深渊·激流之剑+9	85	1	15	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	9000	0	0	2	303	4	360	1	144	0	0	0	0	95020401	0	0	2304	4668	885	1053	-500	-500	31	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050310	深渊·激流之剑+10	85	1	16	7	5	1	0	当穿齐深渊·激流套装后，会增加旋风斩技能等级1	1	水滴石穿，现在我给你一条深渊·激流的河，你可以去毁灭敌人了	0	0	0	2	303	4	370	1	147	0	0	0	0	95020401	0	0	2364	4728	921	1089	-500	-500	32	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050400	深渊·晴空之剑	110	1	14	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	10000	0	0	2	304	4	340	1	145	0	0	0	0	95020111	0	0	2178	5469	705	921	-500	-500	31	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050401	深渊·晴空之剑+1	110	1	14	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	11000	0	0	2	304	4	350	1	148	0	0	0	0	95020111	0	0	2238	5529	741	957	-500	-500	32	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050402	深渊·晴空之剑+2	110	1	14	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	12000	0	0	2	304	4	360	1	151	0	0	0	0	95020111	0	0	2298	5589	777	993	-500	-500	33	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050403	深渊·晴空之剑+3	110	1	14	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	13000	0	0	2	304	4	370	1	154	0	0	0	0	95020111	0	0	2358	5649	813	1029	-500	-500	34	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050404	深渊·晴空之剑+4	110	1	15	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	14000	0	0	2	304	4	380	1	157	0	0	0	0	95020111	0	0	2418	5709	849	1065	-500	-500	35	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050405	深渊·晴空之剑+5	110	1	15	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	15000	0	0	2	304	4	390	1	160	0	0	0	0	95020111	0	0	2478	5769	885	1101	-500	-500	36	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050406	深渊·晴空之剑+6	110	1	15	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	16000	0	0	2	304	4	400	1	163	0	0	0	0	95020111	0	0	2538	5829	921	1137	-500	-500	37	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050407	深渊·晴空之剑+7	110	1	15	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	17000	0	0	2	304	4	410	1	166	0	0	0	0	95020111	0	0	2598	5889	957	1173	-500	-500	38	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050408	深渊·晴空之剑+8	110	1	16	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	18000	0	0	2	304	4	420	1	169	0	0	0	0	95020111	0	0	2658	5949	993	1209	-500	-500	39	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050409	深渊·晴空之剑+9	110	1	16	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	19000	0	0	2	304	4	430	1	172	0	0	0	0	95020111	0	0	2718	6009	1029	1245	-500	-500	40	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050410	深渊·晴空之剑+10	110	1	17	10	5	1	0	当穿齐深渊·晴空套装后，会增加闪击技能等级1	1	犹如光明驱散黑暗，其力量透空而来	0	0	0	2	304	4	440	1	175	0	0	0	0	95020111	0	0	2778	6069	1065	1281	-500	-500	41	2	0	0	0	0	0	0	0	0	0	0	0	0
1242050500	深渊·蚀日之剑	130	1	15	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	15000	0	0	2	305	4	410	1	170	0	0	0	0	95020111	0	0	2586	6483	819	1143	-500	-500	41	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050501	深渊·蚀日之剑+1	130	1	15	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	17000	0	0	2	305	4	420	1	174	0	0	0	0	95020111	0	0	2646	6543	855	1179	-500	-500	42	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050502	深渊·蚀日之剑+2	130	1	15	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	19000	0	0	2	305	4	430	1	178	0	0	0	0	95020111	0	0	2706	6603	891	1215	-500	-500	43	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050503	深渊·蚀日之剑+3	130	1	15	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	21000	0	0	2	305	4	440	1	182	0	0	0	0	95020111	0	0	2766	6663	927	1251	-500	-500	44	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050504	深渊·蚀日之剑+4	130	1	16	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	23000	0	0	2	305	4	450	1	186	0	0	0	0	95020111	0	0	2826	6723	963	1287	-500	-500	45	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050505	深渊·蚀日之剑+5	130	1	16	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	25000	0	0	2	305	4	460	1	190	0	0	0	0	95020111	0	0	2886	6783	999	1323	-500	-500	46	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050506	深渊·蚀日之剑+6	130	1	16	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	27000	0	0	2	305	4	470	1	194	0	0	0	0	95020111	0	0	2946	6843	1035	1359	-500	-500	47	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050507	深渊·蚀日之剑+7	130	1	16	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	29000	0	0	2	305	4	480	1	198	0	0	0	0	95020111	0	0	3006	6903	1071	1395	-500	-500	48	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050508	深渊·蚀日之剑+8	130	1	17	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	31000	0	0	2	305	4	490	1	202	0	0	0	0	95020111	0	0	3066	6963	1107	1431	-500	-500	49	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050509	深渊·蚀日之剑+9	130	1	17	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	33000	0	0	2	305	4	500	1	206	0	0	0	0	95020111	0	0	3126	7023	1143	1467	-500	-500	50	3	0	0	0	0	0	0	0	0	0	0	0	0
1242050510	深渊·蚀日之剑+10	130	1	18	12	5	1	0	当穿齐深渊·蚀日套装后，会增加闪击技能等级1	1	拥有侵蚀太阳的力量，要小心使用	0	0	0	2	305	4	510	1	210	0	0	0	0	95020111	0	0	3186	7083	1179	1503	-500	-500	51	3	0	0	0	0	0	0	0	0	0	0	0	0
