编号	名字	图像	游戏币价格	元宝价格	可否使用	可否交易	可否丢弃	可否出售	可否存仓库	品质	道具功能类型	参数1	参数2	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	描述
1633080438	神品鬼泣包(战士)	4	0	12900	1	1	0	1	1	5	23	10	0	1633081438	1633080229	0	0	0	0	0	0	0	0	包里包括战士108级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080439	神品毁灭包(战士)	4	0	16090	1	1	0	1	1	5	23	10	0	1633081439	1633080230	0	0	0	0	0	0	0	0	包里包括战士120级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633081310	完美硬皮装(游侠)	4	0	89	1	1	0	1	1	5	23	9	0	1110030200	1130030200	1120030200	1210030200	0	0	0	0	0	0	包里包括游侠12级完美武器装备一套,使用时请确认身上有4个空位
1633081311	完美轻灵装(游侠)	4	0	126	1	1	0	1	1	5	23	9	0	1110030300	1130030300	1120030300	1210030300	0	0	0	0	0	0	包里包括游侠24级完美武器装备一套，使用时请确认身上有4个空位
1633081312	完美射手装(游侠)	4	0	146	1	1	0	1	1	5	23	9	0	1110030400	1130030400	1120030400	1210030400	0	0	0	0	0	0	包里包括游侠36级完美武器装备一套,使用时请确认身上有4个空位
1633081313	完美宁静装(游侠)	4	0	169	1	1	0	1	1	5	23	9	0	1110030500	1130030500	1120030500	1210030500	0	0	0	0	0	0	包里包括游侠48级完美武器装备一套，使用时请确认身上有4个空位
1633081314	完美溯雪装(游侠)	4	0	206	1	1	0	1	1	5	23	9	0	1110030600	1130030600	1120030600	1210030600	0	0	0	0	0	0	包里包括游侠60级完美武器装备一套,使用时请确认身上有4个空位
1633081315	完美天鹰装(游侠)	4	0	284	1	1	0	1	1	5	23	9	0	1110030700	1130030700	1120030700	1210030700	0	0	0	0	0	0	包里包括游侠72级完美武器装备一套，使用时请确认身上有4个空位
1633081316	完美穿云装(游侠)	4	0	376	1	1	0	1	1	5	23	9	0	1110030800	1130030800	1120030800	1210030800	0	0	0	0	0	0	包里包括游侠84级完美武器装备一套,使用时请确认身上有4个空位
1633081317	完美封魔装(游侠)	4	0	481	1	1	0	1	1	5	23	9	0	1110030900	1130030900	1120030900	1210030900	0	0	0	0	0	0	包里包括游侠96级完美武器装备一套，使用时请确认身上有4个空位
1633081318	完美狩猎装(游侠)	4	0	603	1	1	0	1	1	5	23	9	0	1110031000	1130031000	1120031000	1210031000	0	0	0	0	0	0	包里包括游侠108级完美武器装备一套,使用时请确认身上有4个空位
1633081319	完美幻魔装(游侠)	4	0	796	1	1	0	1	1	5	23	9	0	1110031100	1130031100	1120031100	1210031100	0	0	0	0	0	0	包里包括游侠120级完美武器装备一套，使用时请确认身上有4个空位
1633081320	完美兽皮装(法师)	4	0	85	1	1	0	1	1	5	23	9	0	1111030200	1131030200	1121030200	1221030200	0	0	0	0	0	0	包里包括法师12级完美武器装备一套,使用时请确认身上有4个空位
1633081321	完美秘法装(法师)	4	0	120	1	1	0	1	1	5	23	9	0	1111030300	1131030300	1121030300	1221030300	0	0	0	0	0	0	包里包括法师24级完美武器装备一套，使用时请确认身上有4个空位
1633081322	完美繁星装(法师)	4	0	132	1	1	0	1	1	5	23	9	0	1111030400	1131030400	1121030400	1221030400	0	0	0	0	0	0	包里包括法师36级完美武器装备一套,使用时请确认身上有4个空位
1633081323	完美暗晶装(法师)	4	0	156	1	1	0	1	1	5	23	9	0	1111030500	1131030500	1121030500	1221030500	0	0	0	0	0	0	包里包括法师48级完美武器装备一套，使用时请确认身上有4个空位
1633081324	完美信仰装(法师)	4	0	193	1	1	0	1	1	5	23	9	0	1111030600	1131030600	1121030600	1221030600	0	0	0	0	0	0	包里包括法师60级完美武器装备一套,使用时请确认身上有4个空位
1633081325	完美祝福装(法师)	4	0	262	1	1	0	1	1	5	23	9	0	1111030700	1131030700	1121030700	1221030700	0	0	0	0	0	0	包里包括法师72级完美武器装备一套，使用时请确认身上有4个空位
1633081326	完美圣灵装(法师)	4	0	335	1	1	0	1	1	5	23	9	0	1111030800	1131030800	1121030800	1221030800	0	0	0	0	0	0	包里包括法师84级完美武器装备一套,使用时请确认身上有4个空位
1633081327	完美附魂装(法师)	4	0	441	1	1	0	1	1	5	23	9	0	1111030900	1131030900	1121030900	1221030900	0	0	0	0	0	0	包里包括法师96级完美武器装备一套，使用时请确认身上有4个空位
1633081328	完美神恩装(法师)	4	0	550	1	1	0	1	1	5	23	9	0	1111031000	1131031000	1121031000	1221031000	0	0	0	0	0	0	包里包括法师108级完美武器装备一套,使用时请确认身上有4个空位
1633081329	完美天光装(法师)	4	0	727	1	1	0	1	1	5	23	9	0	1111031100	1131031100	1121031100	1221031100	0	0	0	0	0	0	包里包括法师120级完美武器装备一套，使用时请确认身上有4个空位
1633081330	完美精铁装(战士)	4	0	101	1	1	0	1	1	5	23	10	0	1112030200	1132030200	1122030200	1142030200	1232030200	0	0	0	0	0	包里包括战士12级完美武器装备一套,使用时请确认身上有5个空位
1633081331	完美青狼装(战士)	4	0	144	1	1	0	1	1	5	23	10	0	1112030300	1132030300	1122030300	1142030300	1232030300	0	0	0	0	0	包里包括战士24级完美武器装备一套，使用时请确认身上有5个空位
1633081332	完美光芒装(战士)	4	0	159	1	1	0	1	1	5	23	10	0	1112030400	1132030400	1122030400	1142030400	1232030400	0	0	0	0	0	包里包括战士36级完美武器装备一套,使用时请确认身上有5个空位
1633081333	完美闪耀装(战士)	4	0	188	1	1	0	1	1	5	23	10	0	1112030500	1132030500	1122030500	1142030500	1232030500	0	0	0	0	0	包里包括战士48级完美武器装备一套，使用时请确认身上有5个空位
1633081334	完美胜利装(战士)	4	0	232	1	1	0	1	1	5	23	10	0	1112030600	1132030600	1122030600	1142030600	1232030600	0	0	0	0	0	包里包括战士60级完美武器装备一套,使用时请确认身上有5个空位
1633081335	完美荣誉装(战士)	4	0	314	1	1	0	1	1	5	23	10	0	1112030700	1132030700	1122030700	1142030700	1232030700	0	0	0	0	0	包里包括战士72级完美武器装备一套，使用时请确认身上有5个空位
1633081336	完美狂暴装(战士)	4	0	400	1	1	0	1	1	5	23	10	0	1112030800	1132030800	1122030800	1142030800	1232030800	0	0	0	0	0	包里包括战士84级完美武器装备一套,使用时请确认身上有5个空位
1633081337	完美力量装(战士)	4	0	523	1	1	0	1	1	5	23	10	0	1112030900	1132030900	1122030900	1142030900	1232030900	0	0	0	0	0	包里包括战士96级完美武器装备一套，使用时请确认身上有5个空位
1633081338	完美鬼泣装(战士)	4	0	651	1	1	0	1	1	5	23	10	0	1112031000	1132031000	1122031000	1142031000	1232031000	0	0	0	0	0	包里包括战士108级完美武器装备一套,使用时请确认身上有5个空位
1633081339	完美毁灭装(战士)	4	0	858	1	1	0	1	1	5	23	10	0	1112031100	1132031100	1122031100	1142031100	1232031100	0	0	0	0	0	包里包括战士120级完美武器装备一套，使用时请确认身上有5个空位
1633081410	神品硬皮装(游侠)	4	0	40020	1	1	0	1	1	5	23	9	0	1110040200	1130040200	1120040200	1210040200	0	0	0	0	0	0	包里包括游侠12级神品武器装备一套，使用时请确认身上有4个空位
1633081411	神品轻灵装(游侠)	4	0	52440	1	1	0	1	1	5	23	9	0	1110040300	1130040300	1120040300	1210040300	0	0	0	0	0	0	包里包括游侠24级神品武器装备一套，使用时请确认身上有4个空位
1633081412	神品射手装(游侠)	4	0	65090	1	1	0	1	1	5	23	9	0	1110040400	1130040400	1120040400	1210040400	0	0	0	0	0	0	包里包括游侠36级神品武器装备一套，使用时请确认身上有4个空位
1633081413	神品宁静装(游侠)	4	0	75670	1	1	0	1	1	5	23	9	0	1110040500	1130040500	1120040500	1210040500	0	0	0	0	0	0	包里包括游侠48级神品武器装备一套，使用时请确认身上有4个空位
1633081414	神品溯雪装(游侠)	4	0	87400	1	1	0	1	1	5	23	9	0	1110040600	1130040600	1120040600	1210040600	0	0	0	0	0	0	包里包括游侠60级神品武器装备一套，使用时请确认身上有4个空位
1633081415	神品天鹰装(游侠)	4	0	118220	1	1	0	1	1	5	23	9	0	1110040700	1130040700	1120040700	1210040700	0	0	0	0	0	0	包里包括游侠72级神品武器装备一套，使用时请确认身上有4个空位
1633081416	神品穿云装(游侠)	4	0	162380	1	1	0	1	1	5	23	9	0	1110040800	1130040800	1120040800	1210040800	0	0	0	0	0	0	包里包括游侠84级神品武器装备一套，使用时请确认身上有4个空位
1633081417	神品封魔装(游侠)	4	0	197340	1	1	0	1	1	5	23	9	0	1110040900	1130040900	1120040900	1210040900	0	0	0	0	0	0	包里包括游侠96级神品武器装备一套，使用时请确认身上有4个空位
1633081418	神品狩猎装(游侠)	4	0	253920	1	1	0	1	1	5	23	9	0	1110041000	1130041000	1120041000	1210041000	0	0	0	0	0	0	包里包括游侠108级神品武器装备一套，使用时请确认身上有4个空位
1633081419	神品幻魔装(游侠)	4	0	320850	1	1	0	1	1	5	23	9	0	1110041100	1130041100	1120041100	1210041100	0	0	0	0	0	0	包里包括游侠120级神品武器装备一套，使用时请确认身上有4个空位
1633081420	神品兽皮装(法师)	4	0	39100	1	1	0	1	1	5	23	9	0	1111040200	1131040200	1121040200	1221040200	0	0	0	0	0	0	包里包括法师12级神品武器装备一套，使用时请确认身上有4个空位
1633081421	神品秘法装(法师)	4	0	51060	1	1	0	1	1	5	23	9	0	1111040300	1131040300	1121040300	1221040300	0	0	0	0	0	0	包里包括法师24级神品武器装备一套，使用时请确认身上有4个空位
1633081422	神品繁星装(法师)	4	0	60260	1	1	0	1	1	5	23	9	0	1111040400	1131040400	1121040400	1221040400	0	0	0	0	0	0	包里包括法师36级神品武器装备一套，使用时请确认身上有4个空位
1633081423	神品暗晶装(法师)	4	0	71070	1	1	0	1	1	5	23	9	0	1111040500	1131040500	1121040500	1221040500	0	0	0	0	0	0	包里包括法师48级神品武器装备一套，使用时请确认身上有4个空位
1633081424	神品信仰装(法师)	4	0	83030	1	1	0	1	1	5	23	9	0	1111040600	1131040600	1121040600	1221040600	0	0	0	0	0	0	包里包括法师60级神品武器装备一套，使用时请确认身上有4个空位
1633081425	神品祝福装(法师)	4	0	109250	1	1	0	1	1	5	23	9	0	1111040700	1131040700	1121040700	1221040700	0	0	0	0	0	0	包里包括法师72级神品武器装备一套，使用时请确认身上有4个空位
1633081426	神品圣灵装(法师)	4	0	150650	1	1	0	1	1	5	23	9	0	1111040800	1131040800	1121040800	1221040800	0	0	0	0	0	0	包里包括法师84级神品武器装备一套，使用时请确认身上有4个空位
1633081427	神品附魂装(法师)	4	0	181930	1	1	0	1	1	5	23	9	0	1111040900	1131040900	1121040900	1221040900	0	0	0	0	0	0	包里包括法师96级神品武器装备一套，使用时请确认身上有4个空位
1633081428	神品神恩装(法师)	4	0	233680	1	1	0	1	1	5	23	9	0	1111041000	1131041000	1121041000	1221041000	0	0	0	0	0	0	包里包括法师108级神品武器装备一套，使用时请确认身上有4个空位
1633081429	神品天光装(法师)	4	0	294860	1	1	0	1	1	5	23	9	0	1111041100	1131041100	1121041100	1221041100	0	0	0	0	0	0	包里包括法师120级神品武器装备一套，使用时请确认身上有4个空位
1633081430	神品精铁装(战士)	4	0	43240	1	1	0	1	1	5	23	10	0	1112040200	1132040200	1122040200	1142040200	1232040200	0	0	0	0	0	包里包括战士12级神品武器装备一套，使用时请确认身上有5个空位
1633081431	神品青狼装(战士)	4	0	58190	1	1	0	1	1	5	23	10	0	1112040300	1132040300	1122040300	1142040300	1232040300	0	0	0	0	0	包里包括战士24级神品武器装备一套，使用时请确认身上有5个空位
1633081432	神品光芒装(战士)	4	0	70380	1	1	0	1	1	5	23	10	0	1112040400	1132040400	1122040400	1142040400	1232040400	0	0	0	0	0	包里包括战士36级神品武器装备一套，使用时请确认身上有5个空位
1633081433	神品闪耀装(战士)	4	0	82800	1	1	0	1	1	5	23	10	0	1112040500	1132040500	1122040500	1142040500	1232040500	0	0	0	0	0	包里包括战士48级神品武器装备一套，使用时请确认身上有5个空位
1633081434	神品胜利装(战士)	4	0	97290	1	1	0	1	1	5	23	10	0	1112040600	1132040600	1122040600	1142040600	1232040600	0	0	0	0	0	包里包括战士60级神品武器装备一套，使用时请确认身上有5个空位
1633081435	神品荣誉装(战士)	4	0	129490	1	1	0	1	1	5	23	10	0	1112040700	1132040700	1122040700	1142040700	1232040700	0	0	0	0	0	包里包括战士72级神品武器装备一套，使用时请确认身上有5个空位
1633081436	神品狂暴装(战士)	4	0	176410	1	1	0	1	1	5	23	10	0	1112040800	1132040800	1122040800	1142040800	1232040800	0	0	0	0	0	包里包括战士84级神品武器装备一套，使用时请确认身上有5个空位
1633081437	神品力量装(战士)	4	0	212980	1	1	0	1	1	5	23	10	0	1112040900	1132040900	1122040900	1142040900	1232040900	0	0	0	0	0	包里包括战士96级神品武器装备一套，使用时请确认身上有5个空位
1633081438	神品鬼泣装(战士)	4	0	273700	1	1	0	1	1	5	23	10	0	1112041000	1132041000	1122041000	1142041000	1232041000	0	0	0	0	0	包里包括战士108级神品武器装备一套，使用时请确认身上有5个空位
1633081439	神品毁灭装(战士)	4	0	344770	1	1	0	1	1	5	23	10	0	1112041100	1132041100	1122041100	1142041100	1232041100	0	0	0	0	0	包里包括战士120级神品武器装备一套，使用时请确认身上有5个空位
1633081440	游龙首饰包（推广赠送）	4	0	0	1	1	0	1	1	5	23	10	0	1743050400	1743050400	1753050400	1763050400	1763050400	0	0	0	0	0	包里包括游龙首饰装备一套，使用时请确认身上有5个空位
1633081441	魂·游龙首饰（充值30元赠送一套）	4	0	0	1	1	0	1	1	5	23	10	0	1743050500	1743050500	1753050500	1763050500	1763050500	0	0	0	0	0	包里包括魂·游龙首饰装备一套（属性为游龙首饰的双倍），使用时请确认身上有5个空位
1633082001	领主的奖励	4	0	0	1	1	0	1	1	5	23	10	0	1613000007	1633060010	1633060010	1633060010	1633060010	1633060010	1633040011	1633040011	1433000809	1433000809	包里包括生命之源1个,复活药水5个,5级天晶石2个,小喇叭2个,使用时请确认身上有10个空位
