编号	名字	等级	图标	飞行特效类型	动画样式	动画播放时间	能否锁定对象	伤害类型	伤害使用次数	使用范围	伤害扩散范围X	伤害扩散范围Y	伤害范围填充	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	攻击最小值	攻击最大值	自身冷却时间	公共冷却时间	产生状态ID	产生状态几率	强壮计算因子	智力计算因子	敏捷计算因子	自身物理伤害计算因子	自身魔法伤害计算因子	怪物被伤害时的仇恨计算系数	简介
95000103	魔法箭	3	12	4	0	0	1	0	1	6	0	0	1	800	15	95000104	14	38	52	0	0	0	0	0	5	5	200	40	19	以带魔法创造的箭攻击敌人
95000104	魔法箭	4	12	4	0	0	1	0	1	6	0	0	1	1400	20	95000105	17	57	76	0	0	0	0	0	5	5	200	40	21	以带魔法创造的箭攻击敌人
95000105	魔法箭	5	12	4	0	0	1	0	1	6	0	0	1	2200	25	95000106	20	73	103	0	0	0	0	0	5	5	200	40	23	以带魔法创造的箭攻击敌人
95000106	魔法箭	6	12	4	0	0	1	0	1	6	0	0	1	3200	30	95000107	23	95	127	0	0	0	0	0	5	5	200	40	25	以带魔法创造的箭攻击敌人
95000107	魔法箭	7	12	4	0	0	1	0	1	6	0	0	1	4400	35	95000108	26	112	157	0	0	0	0	0	5	5	200	40	27	以带魔法创造的箭攻击敌人
95000108	魔法箭	8	12	4	0	0	1	0	1	6	0	0	1	5800	40	95000109	29	128	180	0	0	0	0	0	5	5	200	40	29	以带魔法创造的箭攻击敌人
95000109	魔法箭	9	12	4	0	0	1	0	1	6	0	0	1	7400	45	95000110	32	153	214	0	0	0	0	0	5	5	200	40	31	以带魔法创造的箭攻击敌人
95000110	魔法箭	10	12	4	0	0	1	0	1	6	0	0	1	0	0	0	35	169	237	0	0	0	0	0	5	5	200	40	33	以带魔法创造的箭攻击敌人
95000201	追踪箭	1	13	4	0	0	1	1	1	6	0	0	1	800	36	95000202	20	118	166	1000	800	0	0	0	0	5	200	0	10	长着眼睛的箭
95000202	追踪箭	2	13	4	0	0	1	1	1	6	0	0	1	1600	40	95000203	23	133	186	1000	800	0	0	0	0	5	202	0	12	长着眼睛的箭
95000203	追踪箭	3	13	4	0	0	1	1	1	6	0	0	1	2600	44	95000204	26	153	214	1000	800	0	0	0	0	5	204	0	14	长着眼睛的箭
95000204	追踪箭	4	13	4	0	0	1	1	1	6	0	0	1	3800	48	95000205	29	166	232	1000	800	0	0	0	0	5	206	0	16	长着眼睛的箭
95000205	追踪箭	5	13	4	0	0	1	1	1	6	0	0	1	5200	52	95000206	32	181	252	1000	800	0	0	0	0	5	208	0	18	长着眼睛的箭
95000206	追踪箭	6	13	4	0	0	1	1	1	6	0	0	1	6800	56	95000207	35	204	283	1000	800	0	0	0	0	5	210	0	20	长着眼睛的箭
95000207	追踪箭	7	13	4	0	0	1	1	1	6	0	0	1	8600	60	95000208	38	217	301	1000	800	0	0	0	0	5	212	0	22	长着眼睛的箭
95000208	追踪箭	8	13	4	0	0	1	1	1	6	0	0	1	10600	64	95000209	41	232	337	1000	800	0	0	0	0	5	214	0	24	长着眼睛的箭
95000209	追踪箭	9	13	4	0	0	1	1	1	6	0	0	1	12800	68	95000210	44	245	355	1000	800	0	0	0	0	5	216	0	26	长着眼睛的箭
95000210	追踪箭	10	13	4	0	0	1	1	1	6	0	0	1	0	0	0	47	271	373	1000	800	0	0	0	0	5	220	0	28	长着眼睛的箭
95000301	冰冻箭	1	14	2	10	500	1	0	1	6	0	0	1	1200	60	95000302	40	0	0	5000	1000	85000301	55	0	10	0	200	20	40	以冰箭攻击敌人，并有55%的几率让敌人冰冻,降低敌人移动速度300、攻击速度350，持续6秒
95000302	冰冻箭	2	14	2	10	500	1	0	1	6	0	0	1	2400	64	95000303	43	0	0	5000	1000	85000302	60	0	10	0	200	20	45	以冰箭攻击敌人，并有60%的几率让敌人冰冻,降低敌人移动速度300、攻击速度350，持续6秒
95000303	冰冻箭	3	14	2	10	500	1	0	1	6	0	0	1	3800	68	95000304	46	0	0	5000	1000	85000303	65	0	10	0	200	20	50	以冰箭攻击敌人，并有65%的几率让敌人冰冻,降低敌人移动速度300、攻击速度350，持续10秒
95000304	冰冻箭	4	14	2	10	500	1	0	1	6	0	0	1	5400	72	95000305	49	0	0	5000	1000	85000304	70	0	10	0	200	20	55	以冰箭攻击敌人，并有70%的几率让敌人冰冻,降低敌人移动速度300、攻击速度350，持续10秒
95000305	冰冻箭	5	14	2	10	500	1	0	1	6	0	0	1	7200	76	95000306	52	0	0	5000	1000	85000305	75	0	10	0	200	20	60	以冰箭攻击敌人，并有75%的几率让敌人冰冻,降低敌人移动速度400、攻击速度450，持续14秒
95000306	冰冻箭	6	14	2	10	500	1	0	1	6	0	0	1	9200	80	95000307	55	0	0	5000	1000	85000306	80	0	10	0	200	20	65	以冰箭攻击敌人，并有80%的几率让敌人冰冻,降低敌人移动速度400、攻击速度450，持续14秒
95000307	冰冻箭	7	14	2	10	500	1	0	1	6	0	0	1	11400	84	95000308	58	0	0	5000	1000	85000307	85	0	10	0	200	20	70	以冰箭攻击敌人，并有85%的几率让敌人冰冻,降低敌人移动速度400、攻击速度450，持续18秒
95000308	冰冻箭	8	14	2	10	500	1	0	1	6	0	0	1	13800	88	95000309	61	0	0	5000	1000	85000308	90	0	10	0	200	20	75	以冰箭攻击敌人，并有90%的几率让敌人冰冻,降低敌人移动速度400、攻击速度450，持续18秒
95000309	冰冻箭	9	14	2	10	500	1	0	1	6	0	0	1	16200	92	95000310	64	0	0	5000	1000	85000309	95	0	10	0	200	20	80	以冰箭攻击敌人，并有95%的几率让敌人冰冻,降低敌人移动速度400、攻击速度450，持续24秒
95000310	冰冻箭	10	14	2	10	500	1	0	1	6	0	0	1	0	0	0	67	0	0	5000	1000	85000310	100	0	10	0	200	20	85	以冰箭攻击敌人，并有100%的几率让敌人冰冻,降低敌人移动速度500、攻击速度550，持续24秒
95000311	冰冻箭	11	14	2	10	500	1	0	1	6	0	0	1	0	0	0	67	0	0	5000	1000	85000311	100	0	15	0	220	30	100	以冰箭攻击敌人，并有100%的几率让敌人冰冻,降低敌人移动速度550、攻击速度600，持续25秒
95000401	近射	1	15	1	0	0	1	1	1	3	0	0	1	1600	83	95000402	50	328	471	1000	1000	0	0	0	0	16	200	0	30	缩短攻击射程，以达到更高的伤害
95000402	近射	2	15	1	0	0	1	1	1	3	0	0	1	3200	86	95000403	53	338	484	1000	1000	0	0	0	0	16	200	0	33	缩短攻击射程，以达到更高的伤害
95000403	近射	3	15	1	0	0	1	1	1	3	0	0	1	5000	89	95000404	56	349	499	1000	1000	0	0	0	0	16	200	0	36	缩短攻击射程，以达到更高的伤害
95000404	近射	4	15	1	0	0	1	1	1	3	0	0	1	7000	92	95000405	59	359	538	1000	1000	0	0	0	0	16	200	0	39	缩短攻击射程，以达到更高的伤害
95000405	近射	5	15	1	0	0	1	1	1	3	0	0	1	9200	95	95000406	62	388	552	1000	1000	0	0	0	0	16	200	0	42	缩短攻击射程，以达到更高的伤害
95000406	近射	6	15	1	0	0	1	1	1	3	0	0	1	11600	98	95000407	65	398	565	1000	1000	0	0	0	0	16	200	0	45	缩短攻击射程，以达到更高的伤害
95000407	近射	7	15	1	0	0	1	1	1	3	0	0	1	14000	101	95000408	68	409	580	1000	1000	0	0	0	0	16	200	0	48	缩短攻击射程，以达到更高的伤害
95000408	近射	8	15	1	0	0	1	1	1	3	0	0	1	16400	104	95000409	71	419	622	1000	1000	0	0	0	0	16	200	0	51	缩短攻击射程，以达到更高的伤害
95000409	近射	9	15	1	0	0	1	1	1	3	0	0	1	18800	107	95000410	74	429	636	1000	1000	0	0	0	0	16	200	0	54	缩短攻击射程，以达到更高的伤害
95000410	近射	10	15	1	0	0	1	1	1	3	0	0	1	0	0	0	77	461	649	1000	1000	0	0	0	0	16	200	0	57	缩短攻击射程，以达到更高的伤害
95000601	火焰箭	1	29	3	22	500	0	0	1	6	2	2	2	600	23	95000602	15	0	0	1000	1000	85000201	50	0	0	0	200	0	60	有50%的几率让目标进入灼烧状态，在14秒之内降低5%物理防御
95000602	火焰箭	2	29	3	22	500	0	0	1	6	2	2	2	1200	28	95000603	18	0	0	1000	1000	85000202	55	0	0	0	200	0	64	有55%的几率让目标进入灼烧状态，在14秒之内降低8%物理防御
95000603	火焰箭	3	29	3	22	500	0	0	1	6	2	2	2	2000	33	95000604	21	0	0	1000	1000	85000203	60	0	0	0	200	0	68	有60%的几率让目标进入灼烧状态，在14秒之内降低11%物理防御
95000604	火焰箭	4	29	3	22	500	0	0	1	6	2	2	2	3000	38	95000605	24	0	0	1000	1000	85000204	65	0	0	0	200	0	72	有65%的几率让目标进入灼烧状态，在14秒之内降低14%物理防御
95000605	火焰箭	5	29	3	22	500	0	0	1	6	2	2	2	4200	43	95000606	27	0	0	1000	1000	85000205	70	0	0	0	200	0	76	有70%的几率让目标进入灼烧状态，在14秒之内降低17%物理防御
95000606	火焰箭	6	29	3	22	500	0	0	1	6	2	2	2	5600	48	95000607	30	0	0	1000	1000	85000206	75	0	0	0	200	0	80	有75%的几率让目标进入灼烧状态，在14秒之内降低20%物理防御
95000607	火焰箭	7	29	3	22	500	0	0	1	6	2	2	2	7200	53	95000608	33	0	0	1000	1000	85000207	80	0	0	0	200	0	84	有80%的几率让目标进入灼烧状态，在14秒之内降低23%物理防御
95000608	火焰箭	8	29	3	22	500	0	0	1	6	2	2	2	9000	58	95000609	36	0	0	1000	1000	85000208	85	0	0	0	200	0	88	有85%的几率让目标进入灼烧状态，在14秒之内降低26%物理防御
95000609	火焰箭	9	29	3	22	500	0	0	1	6	2	2	2	11000	63	95000610	39	0	0	1000	1000	85000209	90	0	0	0	200	0	92	有90%的几率让目标进入灼烧状态，在14秒之内降低29%物理防御
95000610	火焰箭	10	29	3	22	500	0	0	1	6	2	2	2	0	0	0	42	0	0	1000	1000	85000210	100	0	0	0	200	0	96	有100%的几率让目标进入灼烧状态，在14秒之内降低32%物理防御
95000701	虚弱箭	1	30	3	0	0	1	1	1	6	0	0	1	400	14	95000702	15	0	0	5000	1000	85000601	50	0	0	0	200	0	60	有50%的几率让目标进入脱力状态，在20秒之内降低6%物理攻击力
95000702	虚弱箭	2	30	3	0	0	1	1	1	6	0	0	1	800	19	95000703	19	0	0	5000	1000	85000602	55	0	0	0	200	0	64	有55%的几率让目标进入脱力状态，在20秒之内降低7%物理攻击力
95000703	虚弱箭	3	30	3	0	0	1	1	1	6	0	0	1	1400	24	95000704	23	0	0	5000	1000	85000603	60	0	0	0	200	0	68	有60%的几率让目标进入脱力状态，在20秒之内降低8%物理攻击力
95000704	虚弱箭	4	30	3	0	0	1	1	1	6	0	0	1	2200	29	95000705	27	0	0	5000	1000	85000604	65	0	0	0	200	0	72	有65%的几率让目标进入脱力状态，在20秒之内降低9%物理攻击力
95000705	虚弱箭	5	30	3	0	0	1	1	1	6	0	0	1	3200	34	95000706	31	0	0	5000	1000	85000605	70	0	0	0	200	0	76	有70%的几率让目标进入脱力状态，在20秒之内降低10%物理攻击力
95000706	虚弱箭	6	30	3	0	0	1	1	1	6	0	0	1	4400	39	95000707	35	0	0	5000	1000	85000606	75	0	0	0	200	0	80	有75%的几率让目标进入脱力状态，在20秒之内降低11%物理攻击力
95000707	虚弱箭	7	30	3	0	0	1	1	1	6	0	0	1	5800	44	95000708	39	0	0	5000	1000	85000607	80	0	0	0	200	0	84	有80%的几率让目标进入脱力状态，在20秒之内降低12%物理攻击力
95000708	虚弱箭	8	30	3	0	0	1	1	1	6	0	0	1	7400	49	95000709	43	0	0	5000	1000	85000608	85	0	0	0	200	0	88	有85%的几率让目标进入脱力状态，在20秒之内降低13%物理攻击力
95000709	虚弱箭	9	30	3	0	0	1	1	1	6	0	0	1	9200	54	95000710	47	0	0	5000	1000	85000609	90	0	0	0	200	0	92	有90%的几率让目标进入脱力状态，在20秒之内降低14%物理攻击力
95000710	虚弱箭	10	30	3	0	0	1	1	1	6	0	0	1	0	0	0	51	0	0	5000	1000	85000610	100	0	0	0	200	0	96	有100%的几率让目标进入脱力状态，在20秒之内降低15%物理攻击力
95000111	连射	1	16	8	0	0	1	1	3	6	0	0	1	4000	7	95000112	65	20	25	0	0	0	0	0	0	20	280	0	50	同时射出三箭，造成极大的伤害
95000112	连射	2	16	8	0	0	1	1	3	6	0	0	1	5000	14	95000113	73	40	45	0	0	0	0	0	0	20	282	0	60	同时射出三箭，造成极大的伤害
95000113	连射	3	16	8	0	0	1	1	3	6	0	0	1	6500	21	95000114	81	60	65	0	0	0	0	0	0	20	284	0	70	同时射出三箭，造成极大的伤害
95000114	连射	4	16	8	0	0	1	1	3	6	0	0	1	8000	28	95000115	89	80	85	0	0	0	0	0	0	20	286	0	80	同时射出三箭，造成极大的伤害
95000115	连射	5	16	8	0	0	1	1	3	6	0	0	1	10000	35	95000116	97	100	105	0	0	0	0	0	0	20	288	0	90	同时射出三箭，造成极大的伤害
95000116	连射	6	16	8	0	0	1	1	3	6	0	0	1	12000	42	95000117	105	120	125	0	0	0	0	0	0	20	290	0	100	同时射出三箭，造成极大的伤害
95000117	连射	7	16	8	0	0	1	1	3	6	0	0	1	14000	49	95000118	113	140	145	0	0	0	0	0	0	20	292	0	110	同时射出三箭，造成极大的伤害
95000118	连射	8	16	8	0	0	1	1	3	6	0	0	1	17000	56	95000119	121	160	165	0	0	0	0	0	0	20	294	0	120	同时射出三箭，造成极大的伤害
95000119	连射	9	16	8	0	0	1	1	3	6	0	0	1	20000	63	95000120	129	180	185	0	0	0	0	0	0	20	296	0	130	同时射出三箭，造成极大的伤害
95000120	连射	10	16	8	0	0	1	1	3	6	0	0	1	0	0	0	137	200	205	0	0	0	0	0	0	20	298	0	140	同时射出三箭，造成极大的伤害
95000121	连射	11	16	8	0	0	1	1	3	6	0	0	1	0	0	0	137	250	260	0	0	0	0	0	0	25	300	0	180	同时射出三箭，造成极大的伤害
95000611	闪光箭	1	33	3	24	500	1	1	1	6	2	2	2	6000	45	95000612	70	0	0	5000	1000	85001801	100	0	0	0	200	0	70	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在7秒之内降低目标自身5%的物理防御和5%的命中
95000612	闪光箭	2	33	3	24	500	1	1	1	6	2	2	2	7000	52	95000613	82	0	0	5000	1000	85001802	100	0	0	0	200	0	80	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在7秒之内降低目标自身8%的物理防御和8%的命中
95000613	闪光箭	3	33	3	24	500	1	1	1	6	2	2	2	9000	59	95000614	94	0	0	5000	1000	85001803	100	0	0	0	200	0	90	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在8秒之内降低目标自身11%的物理防御和11%的命中
95000614	闪光箭	4	33	3	24	500	1	1	1	6	2	2	2	11000	66	95000615	106	0	0	5000	1000	85001804	100	0	0	0	200	0	100	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在8秒之内降低目标自身14%的物理防御和14%的命中
95000615	闪光箭	5	33	3	24	500	1	1	1	6	2	2	2	14000	73	95000616	118	0	0	5000	1000	85001805	100	0	0	0	200	0	110	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在9秒之内降低目标自身17%的物理防御和17%的命中
95000616	闪光箭	6	33	3	24	500	1	1	1	6	2	2	2	17000	80	95000617	130	0	0	5000	1000	85001806	100	0	0	0	200	0	120	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在9秒之内降低目标自身20%的物理防御和20%的命中
95000617	闪光箭	7	33	3	24	500	1	1	1	6	2	2	2	21000	87	95000618	142	0	0	5000	1000	85001807	100	0	0	0	200	0	130	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在10秒之内降低目标自身23%的物理防御和23%的命中
95000618	闪光箭	8	33	3	24	500	1	1	1	6	2	2	2	26000	94	95000619	154	0	0	5000	1000	85001808	100	0	0	0	200	0	140	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在10秒之内降低目标自身26%的物理防御和26%的命中
95000619	闪光箭	9	33	3	24	500	1	1	1	6	2	2	2	32000	101	95000620	166	0	0	5000	1000	85001809	100	0	0	0	200	0	150	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在11秒之内降低目标自身29%的物理防御和29%的命中
95000620	闪光箭	10	33	3	24	500	1	1	1	6	2	2	2	0	0	0	178	0	0	5000	1000	85001810	100	0	0	0	200	0	160	射出一支强烈闪光的箭，在伤害敌人的同时让目标进入目盲状态，在12秒之内降低目标自身32%的物理防御和32%的命中
95000211	爆炸箭	1	36	3	23	500	1	0	1	6	0	0	1	6000	60	95000212	92	350	370	1000	800	85001901	100	0	0	0	200	0	120	射出一支会爆炸的箭，对敌人造成双重伤害
95000212	爆炸箭	2	36	3	23	500	1	0	1	6	0	0	1	7000	67	95000213	104	365	385	1000	800	85001902	100	0	0	0	200	0	130	射出一支会爆炸的箭，对敌人造成双重伤害
95000213	爆炸箭	3	36	3	23	500	1	0	1	6	0	0	1	9000	74	95000214	116	380	400	1000	800	85001903	100	0	0	0	200	0	140	射出一支会爆炸的箭，对敌人造成双重伤害
95000214	爆炸箭	4	36	3	23	500	1	0	1	6	0	0	1	11000	81	95000215	128	395	415	1000	800	85001904	100	0	0	0	200	0	150	射出一支会爆炸的箭，对敌人造成双重伤害
95000215	爆炸箭	5	36	3	23	500	1	0	1	6	0	0	1	14000	88	95000216	140	410	430	1000	800	85001905	100	0	0	0	200	0	160	射出一支会爆炸的箭，对敌人造成双重伤害
95000216	爆炸箭	6	36	3	23	500	1	0	1	6	0	0	1	17000	95	95000217	152	425	445	1000	800	85001906	100	0	0	0	200	0	170	射出一支会爆炸的箭，对敌人造成双重伤害
95000217	爆炸箭	7	36	3	23	500	1	0	1	6	0	0	1	21000	102	95000218	164	440	460	1000	800	85001907	100	0	0	0	200	0	180	射出一支会爆炸的箭，对敌人造成双重伤害
95000218	爆炸箭	8	36	3	23	500	1	0	1	6	0	0	1	26000	109	95000219	176	455	475	1000	800	85001908	100	0	0	0	200	0	190	射出一支会爆炸的箭，对敌人造成双重伤害
95000219	爆炸箭	9	36	3	23	500	1	0	1	6	0	0	1	32000	116	95000220	188	470	490	1000	800	85001909	100	0	0	0	200	0	200	射出一支会爆炸的箭，对敌人造成双重伤害
95000220	爆炸箭	10	36	3	23	500	1	0	1	6	0	0	1	0	0	0	200	485	505	1000	800	85001910	100	0	0	0	200	0	210	射出一支会爆炸的箭，对敌人造成双重伤害
95110101	奋力一击	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	boss的技能
95110102	十字斩	1	4	0	15	400	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	boss的技能
95110103	地锥	1	8	0	4	500	1	1	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	boss的技能
95110201	火海	1	7	0	2	500	1	0	1	6	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	boss的技能
95110202	炽热之痛	1	29	0	22	500	1	1	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	boss的技能
95110203	剧毒	1	11	0	3	500	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	85020202	100	0	0	0	0	150	0	boss的技能
95110204	闪电之触	1	6	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	boss的技能
95110301	震荡攻击	1	4	0	14	400	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	boss的技能
95110302	雷暴	1	10	0	1	500	0	0	1	7	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	boss的技能
95110303	击杀	1	5	0	21	500	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	boss的技能
95110304	抹杀	1	18	0	10	500	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	boss的技能
95110100	小号专杀	1	10	0	1	500	1	0	1	7	7	7	1	0	0	0	0	1000	1002	0	0	0	0	0	0	0	0	0	0	boss杀小号的技能
95110401	鲜血	1	3	0	21	500	1	1	1	5	2	2	1	0	0	0	0	0	0	0	0	85020401	100	0	0	0	0	0	0	boss的技能
95110402	冰斩	1	3	0	10	500	1	1	1	5	0	4	1	0	0	0	0	0	0	0	0	85020402	100	0	0	0	0	300	0	boss的技能
95110403	爆弹	1	3	6	22	500	1	0	1	7	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	boss的技能
95110404	旋斩	1	4	0	21	500	1	0	1	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	测试
95110411	雷暴	1	0	0	1	500	1	0	1	7	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	0	boss的技能
95110412	火雨	1	0	0	2	500	1	1	1	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	0	boss的技能
95110413	剧毒	1	0	0	3	500	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	85020413	100	0	0	0	300	300	0	boss的技能
95110414	诅咒	1	0	0	24	500	1	0	1	7	0	0	1	0	0	0	0	0	0	0	0	85020414	100	0	0	0	300	300	0	boss的技能
95110421	魔人夕影1	1	0	0	13	400	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	350	350	0	boss的技能
95110422	魔人夕影2	1	0	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	350	350	0	boss的技能
95110431	金怪1	1	0	0	10	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85020431	100	0	0	0	300	300	0	boss的技能
95110432	金怪2	1	0	0	14	500	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	boss的技能
95110433	金怪3	1	0	0	4	500	1	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	350	350	0	boss的技能
95110441	火焰之魂1	1	0	0	2	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	boss的技能
95110442	火焰之魂2	1	0	0	2	500	1	0	1	6	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	0	boss的技能
95110443	火焰之魂3	1	0	0	23	500	1	1	1	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	boss的技能
95110451	魔石灵1	1	0	0	4	500	1	1	1	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	boss的技能
95110452	魔石灵2	1	0	0	24	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85020452	100	0	0	0	350	350	0	boss的技能
95110453	魔石灵3	1	0	0	1	500	1	1	1	6	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	350	350	0	boss的技能
95110454	魔石灵4	1	0	0	21	500	1	0	1	6	1	1	1	0	0	0	0	0	0	0	0	85020454	100	0	0	0	400	400	0	boss的技能
95110450	远程物理	1	4	1	0	0	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	闯关boss测试
95110451	近程物理	1	4	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	闯关boss测试
95110452	诅咒之箭	1	4	3	11	400	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85021001	80	0	0	0	0	90	0	试炼之塔72级boss专用
95110453	灼烧	1	7	0	2	500	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	85021002	70	0	0	0	0	80	0	试炼之塔84级boss专用
95110454	虚弱一击	1	30	0	24	500	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	85021003	80	0	0	0	0	80	0	试炼之塔96级boss专用
95110455	寒冰箭	1	14	2	10	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85021004	70	0	0	0	0	90	0	试炼之塔108级boss专用
95110456	定身攻击	1	10	0	17	500	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	85021005	70	0	0	0	0	100	0	试炼之塔120级boss专用
95110457	爆裂攻击	1	10	0	22	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	试炼之塔boss
95110501	诅咒者	1	1	0	25	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85021011	100	0	0	0	100	100	0	试炼之塔怪物技能
95110502	巨毒蝙蝠	1	1	0	3	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000506	70	0	0	0	100	100	0	试炼之塔怪物技能
95110503	妖魂	1	1	0	4	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85021012	100	0	0	0	0	0	0	试炼之塔怪物技能
95110504	隐鼠	1	6	0	1	500	1	0	1	6	0	0	1	0	0	0	0	6	9	0	0	0	0	0	0	0	0	132	0	试炼之塔怪物技能
95110505	带毒僵尸	1	1	0	3	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000506	75	0	0	0	100	100	0	试炼之塔怪物技能
95110506	血骷髅	1	3	0	11	400	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	85000405	70	0	0	0	100	100	0	试炼之塔怪物技能
95110507	巨毒骷髅弓箭手	1	11	0	3	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85000508	85	0	0	0	100	100	0	试炼之塔怪物技能
95110508	海蓝骷髅战士	1	14	0	10	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85000309	95	0	0	0	100	100	0	试炼之塔怪物技能
95110509	血色骷髅弓箭手	1	3	0	11	400	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	85000408	100	0	0	0	100	100	0	试炼之塔怪物技能
95110510	铁怪	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	150	335	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110511	火人	1	1	0	25	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000709	100	0	0	0	100	100	0	试炼之塔怪物技能
95110512	火焰巨人	1	1	0	25	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000710	100	0	0	0	100	100	0	试炼之塔怪物技能
95110513	鬼火	1	1	0	25	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000710	100	0	0	0	100	100	0	试炼之塔怪物技能
95110514	火焰领主	1	1	0	25	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85000710	100	0	0	0	100	100	0	试炼之塔怪物技能
95110515	铁怪弓箭手	1	13	4	0	0	1	1	1	6	0	0	1	0	0	0	0	217	301	0	0	0	0	0	0	0	106	106	0	试炼之塔怪物技能
95110516	金怪	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	99	202	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110517	蓝紫巨人	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	99	202	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110518	燃烧铁怪	1	3	0	11	400	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	85000410	100	0	0	0	100	100	0	试炼之塔怪物技能
95110519	亚玛逊战士间隔	1	1	0	10	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021013	100	0	0	0	80	80	0	试炼之塔怪物技能
95110520	亚玛逊战士重击	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	114	243	0	0	0	0	0	0	0	103	103	0	试炼之塔怪物技能
95110521	迷你野蛮人间隔	1	1	0	10	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021013	100	0	0	0	80	80	0	试炼之塔怪物技能
