编号	名字	初始是否激活	激活条件-场景时间	激活条件-场景玩家数	激活条件-怪物死亡计数	复活时间下限	复活时间上限	复活地点范围	可复活次数	复活后发布公告范围(0不公告、1场景公告、2世界公告)	复活公告文本	前进目标位置X	前进目标位置Y	目标区域	随机移动范围	随机移动间隔	主动攻击范围	索敌时间	索敌成功几率	攻击对象PK值优先	攻击对象距离优先	攻击对象等级优先	攻击对象生命优先	攻击对象种族优先	还击时间	在该范围内战斗	飞到目标跟前战斗	超出范围是否飞回	返回途中是否战斗	受攻击时考虑改变攻击目标	超出攻击范围时考虑改变目标	超出攻击范围是否追击	最大追击步数	当生命少于该比例使用治疗技能	使用治疗性技能的几率	治疗性技能编号	使用技能攻击的几率	重复使用攻击技能的几率	攻击技能1	使用技能1的几率	使用技能1的生命条件	技能1的优先选择目标类型	攻击技能2	使用技能2的几率	使用技能2的生命条件	技能2的优先选择目标类型	攻击技能3	使用技能3的几率	使用技能3的生命条件	技能3的优先选择目标类型	攻击技能4	使用技能4的几率	使用技能4的生命条件	技能4的优先选择目标类型	攻击技能5	使用技能5的几率	使用技能5的生命条件	技能5的优先选择目标类型	死亡后计数值	生命少于该值逃跑	受伤害高于该值逃跑	逃跑距离	自动治疗时间间隔	治疗比例(百分比)	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	是否开启仇恨记录	攻击目标仇恨优先值	对游侠的仇恨系数	对法师的仇恨系数	对战士的仇恨系数	对近身攻击的仇恨加权系数	对远程攻击的仇恨加权系数	被魔法攻击的仇恨加权系数	被物理攻击的仇恨加权系数
80010012	80boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110401	25	100	1	95110402	60	100	1	95110403	95	100	1	95110100	100	100	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	10	12	80	60	60	80
80010013	90boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110411	30	100	1	95110412	60	100	1	95110413	80	100	1	95110414	100	100	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010014	100boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110421	50	100	1	95110422	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010015	110boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110431	35	100	1	95110432	70	100	1	95110433	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010016	120boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110441	35	100	1	95110442	70	100	1	95110443	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010017	130boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110451	25	100	1	95110452	50	100	1	95110453	75	100	1	95110454	100	0	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80020001	城市守卫	1	0	0	0	1000	1000	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	500	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80020002	城市守卫	1	0	0	0	1000	1000	0	0	0	0	0	0	0	20	3000	10	0	0	2	0	0	0	0	500	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80010000	试炼之塔小偷	0	1	1	0	0	0	0	0	1	前面似乎有人，快去看看你的奖品吧。	0	0	0	10	3000	14	200	100	0	0	0	0	0	200	200	0	0	0	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000030	试炼远程普怪	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	7	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	3000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80010101	试炼之塔72级boss	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2000	6	200	100	0	0	0	0	0	200	200	0	1	0	1	1	1	9999999	0	0	0	50	5	95110450	50	100	1	95110452	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
80010102	试炼之塔84级boss	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2000	6	200	100	0	0	0	0	0	200	200	0	1	0	1	1	1	9999999	0	0	0	50	5	95110451	50	100	1	95110453	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
80010103	试炼之塔96级boss	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2000	6	200	100	0	0	0	0	0	200	200	0	1	0	1	1	1	9999999	0	0	0	50	5	95110451	50	100	1	95110454	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
80010104	试炼之塔108级boss	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2000	6	200	100	0	0	0	0	0	200	200	0	1	0	1	1	1	9999999	0	0	0	35	5	95110450	45	100	1	95110455	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
80010105	试炼之塔120级boss	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2000	6	200	100	0	0	0	0	0	200	200	0	1	0	1	1	1	9999999	0	0	0	50	5	95110451	45	100	1	95110456	90	100	1	95110457	100	50	1	0	0	0	0	0	0	0	0	10	0	0	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
80010106	试炼精英怪	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2000	5	1000	92	0	0	0	0	0	0	200	0	0	0	0	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80010107	试炼远程普怪	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010317	诅咒者	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110501	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010320	漂浮的幽灵	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110546	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010321	妖绿食人花	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110547	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010322	巨毒蝙蝠	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110502	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010323	小怪物	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110548	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010324	妖魂	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	1	1	0	1	9999999	0	0	0	15	10	95110503	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010325	隐鼠	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110504	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010326	带毒僵尸	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110505	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010327	血骷髅	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110506	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010328	巨毒骷髅弓箭手	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110507	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010329	海蓝骷髅战士	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110508	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010330	血色骷髅弓箭手	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110509	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010331	铁怪	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110510	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010332	火人	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110511	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010333	火焰巨人	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110512	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010334	鬼火	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110513	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010335	火焰领主	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110514	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010336	铁怪弓箭手	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110515	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010337	金怪	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110516	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010338	蓝紫巨人	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110517	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010339	燃烧铁怪	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110518	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010340	亚玛逊战士	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110519	50	100	1	95110520	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010341	迷你野蛮人	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110521	50	100	1	95110522	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010342	特种卫兵	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110523	50	100	1	95110524	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010343	特种剑士	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110525	50	100	1	95110526	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010344	精灵护守者	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110527	50	100	1	95110528	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010345	高级弩箭兵	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110529	50	100	1	95110530	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010346	兽人弓箭手	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110531	50	100	1	95110532	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010347	战斗矮人	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110533	50	100	1	95110534	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010348	兽人战士	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110535	50	100	1	95110536	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010349	亚玛逊弓箭手	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110537	50	100	1	95110538	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010350	高级骑士	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110539	50	100	1	95110540	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83020001	吓人球头领	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110541	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83020002	南瓜假面头领	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110542	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83020003	石人头领	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110543	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83020004	漂浮的幽灵头领	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110544	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83020005	隐鼠头领	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	0	1	0	1	9999999	0	0	0	15	10	95110545	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010120	兽族大巨	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	1	1	0	1	9999999	0	0	0	20	10	95110510	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010121	兽族猎头	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	1	1	0	1	9999999	0	0	0	20	10	95110515	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010122	施瓦新格	0	0	0	36	0	0	3	0	1	“施瓦新格”在(50，70)坐标出现了，它似乎受了重伤。	0	0	0	4	3000	10	1200	90	0	0	0	0	0	200	200	0	0	1	1	0	1	9999999	0	0	0	25	10	95110533	50	100	1	95110549	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010118	参赛者	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1200	100	0	0	0	0	0	200	200	0	0	1	1	0	1	9999	0	0	0	20	10	95110510	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010119	参赛者	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1200	100	0	0	0	0	0	200	200	0	0	1	1	0	1	9999	0	0	0	20	10	95110510	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010123	兽族大巨	0	0	0	180	0	0	0	0	1	“施瓦新格”带着一些部队逃到“阿塞林地”，大家可以找“指挥员”传送过去，务必要消灭“施瓦新格”。	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	200	0	0	1	1	0	1	9999999	0	0	0	20	10	95110510	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010124	普罗·克洛托的骷髅	1	0	0	0	15000	40000	8	99999999	1	“普罗·克洛托的骷髅”复活了	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	20	0	1	1	1	0	1	9999999	0	0	0	25	10	95110533	50	100	1	95110540	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010125	普罗·克洛托的灵魂	1	0	0	0	15000	40000	8	99999999	1	“普罗·克洛托的灵魂”复活了	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	20	0	1	1	1	0	1	9999999	0	0	0	20	10	95110523	50	100	1	95110501	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010126	怪异食人花	1	0	0	0	15000	40000	8	99999999	1	“怪异的食人花”复活了	0	0	0	4	3000	5	1200	90	0	0	0	0	0	200	20	0	1	1	1	0	1	9999999	0	0	0	20	10	95110547	50	100	1	95110523	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
