编号	名字	图象	颜色	等级	怪物种类	攻击范围	最大生命	最小物理攻击力	最大物理攻击力	最小魔法攻击力	最大魔法攻击力	物理防御	魔法防御	命中	闪避	移动速度	移动间隔	攻击时间	攻击间隔	远程攻击特效类型	简介
62000008	强化食人魔	4	0	98	0	1	19678	609	1295	0	0	1096	939	160	84	600	150	1000	500	0	魔界中强大的食人魔占据相当大的领地，头脑和力量兼备的他们所具有的杀伤力完全超过一般魔族。它们善于使用巨大的棍棒对敌对方造成致命打击，取得战斗胜利。
62000009	强化火精灵	11	0	102	0	1	21430	0	0	702	1490	1173	1006	160	84	600	150	1000	500	0	经过魔族力量的集结，自然界中的火元素精灵甚至也出现了邪恶的一面，它们简单的思想更容易被魔族利用，只想把一切都烧着，燃烧建筑、燃烧人们、燃烧石头甚至燃烧水。
62000010	强化岩浆怪	12	0	104	0	1	21703	759	1611	0	0	1212	1040	166	88	600	150	1000	500	0	在黑暗侵袭的过程中，地底的岩浆也凝结成人形，跟随着黑暗势力，来燃烧法洛斯的一切生灵。
62000011	强化火精灵	11	0	106	0	1	22527	0	0	771	1637	1251	1074	166	88	600	150	1000	500	0	经过魔族力量的集结，自然界中的火元素精灵甚至也出现了邪恶的一面，它们简单的思想更容易被魔族利用，只想把一切都烧着，燃烧建筑、燃烧人们、燃烧石头甚至燃烧水。
62000012	强化岩浆怪	12	0	108	0	1	22780	784	1665	0	0	1290	1106	170	88	600	150	1000	500	0	在黑暗侵袭的过程中，地底的岩浆也凝结成人形，跟随着黑暗势力，来燃烧法洛斯的一切生灵。
63000011	魔巨人·犹加	13	0	45	0	5	10819	161	346	0	0	403	346	61	40	700	200	1000	600	0	很强大很好
63000101	虚幻之卫兵	6	0	57	0	1	6135	194	394	0	0	469	403	64	31	700	200	1000	500	0	虚幻的始终不真实，但是不要被迷惑了
63000102	虚幻之魔物球	10	0	57	0	1	6135	0	0	194	394	469	403	64	31	700	200	1000	500	7	虚幻的始终不真实，但是不要被迷惑了
63000103	虚幻之邪恶	1	0	57	0	1	6135	194	394	0	0	469	403	64	31	700	200	1000	500	7	虚幻的始终不真实，但是不要被迷惑了
63000104	欺骗之心	9	0	40	1	1	6966	489	615	0	0	326	280	56	30	480	0	800	300	0	万事由心起，心魔止，世皆静
63000105	诱惑之心	34	0	50	1	1	9706	0	0	579	810	459	393	74	40	480	0	800	300	7	万事由心起，心魔止，世皆静
63000106	邪恶之心	39	0	60	1	1	13771	687	1040	0	0	592	507	85	44	480	0	800	300	7	万事由心起，心魔止，世皆静
60010063	巨人的奴仆	37	0	45	0	5	4819	148	318	0	0	339	289	48	32	700	200	1000	600	6	它的恐怖在于你不容易打到它
60010064	试炼指导员	6	0	20	1	1	3600	244	308	0	0	129	110	32	16	480	0	800	300	0	新人战斗导师
64010001	深渊地穴领主	51	0	80	3	1	800000	2400	3210	0	0	1700	1450	165	97	400	0	700	300	0	葛布林通常都住在地下，有时也会出来
64010002	远古女妖	52	0	100	3	6	1500000	0	0	2900	3500	1600	1800	180	120	400	0	700	300	5	被她诱惑是危险的
64010003	杀戮魔	53	0	120	3	1	3000000	3060	3800	0	0	2150	2000	204	150	400	0	700	300	0	牛头怪都是强壮的
64010005	血零	52	0	140	3	1	5000000	0	0	3300	4100	2400	2400	650	210	400	0	700	300	0	嗜血的恶魔
64010006	魔人夕影	47	0	30	3	1	400000	0	0	1800	2000	1200	1200	400	105	400	0	700	300	0	魔性十足
64010007	金怪	48	0	60	3	1	800000	2400	3000	0	0	1800	1800	450	114	400	0	700	300	0	它能生吞黄金
64010008	火焰之魂	26	0	90	3	1	1600000	0	0	3200	3800	2200	2200	500	180	400	0	700	300	0	恶魔的火焰
64010009	魔石灵	28	0	120	3	1	3500000	3500	4000	0	0	2400	2400	600	200	400	0	700	300	0	在地狱中沉睡了亿万年的石头
64010010	无双·屠夫	47	0	60	3	1	200000	0	0	900	1000	1200	1200	400	17	400	0	700	300	0	魔性十足
64010011	无双·堕灭	48	0	70	3	1	600000	1200	1500	0	0	1800	1800	450	26	400	0	700	300	0	它能生吞黄金
64010012	无双·恶疫	51	0	80	3	1	800000	1200	1605	0	0	1700	1450	165	9	400	0	700	300	0	葛布林通常都住在地下，有时也会出来
64010013	无双·圣教君王	26	0	90	3	1	1600000	0	0	1600	1900	2200	2200	500	92	400	0	700	300	0	恶魔的火焰
64010014	无双·血吼	52	0	100	3	6	1500000	0	0	1450	1750	1600	1800	180	32	400	0	700	300	5	被她诱惑是危险的
64010015	无双·余烬	53	0	110	3	1	3000000	1530	1900	0	0	2150	2000	204	62	400	0	700	300	0	牛头怪都是强壮的
64010016	无双·窒绞	28	0	120	3	1	3500000	1750	2000	0	0	2400	2400	600	112	400	0	700	300	0	在地狱中沉睡了亿万年的石头
64010017	无双·雷兹艾尔	52	0	130	3	1	5000000	0	0	1650	2050	2400	2400	650	122	400	0	700	300	0	嗜血的恶魔
63010101	恶魔球	10	0	69	0	4	7804	0	0	289	562	511	596	93	48	700	200	1000	500	5	恶魔的形状千奇百怪
63010102	狼毒花	34	0	81	0	4	9640	386	746	0	0	801	687	122	64	700	200	1000	500	7	别小看植物
63010103	野蛮兵	3	0	0	0	1	9427	468	909	0	0	948	812	129	68	700	200	1000	500	0	谁说我们野蛮
63010104	反叛者之精英兵	6	0	105	0	1	13515	614	1185	0	0	1093	938	160	84	700	200	1000	500	0	出来透透气
63010105	侦查兵	6	0	117	0	1	15174	0	0	667	1288	1062	1240	170	88	700	200	1000	500	0	你看我不到！你看我不到！
63010106	反叛者之特种兵	6	0	129	0	1	18212	784	1469	0	0	1462	1197	183	94	700	200	1000	500	0	出来走走而已
63010107	特种骷髅弓箭手	1	0	129	0	4	16473	784	1469	0	0	1462	1197	183	94	700	200	1000	500	1	曾经是特种兵
63010108	特种幽灵	37	0	129	0	4	16473	0	0	784	1469	1197	1462	183	94	700	200	1000	500	6	曾经是特种兵
63010109	精英头领	6	0	105	1	2	27432	1429	2079	0	0	1213	1041	160	84	480	0	800	300	0	既是精英又是头领
63010110	弗朗西斯	6	0	117	1	2	29592	0	0	1562	2199	1220	1422	170	88	480	0	800	300	0	天知道我为什么会在这里
63010111	奥尔亚瑟	6	0	129	1	2	32475	0	0	1740	2478	1688	1563	183	94	480	0	800	300	0	士兵们，不要退缩，战斗！
63010112	恶魔之子	43	0	129	1	2	32475	0	0	1740	2478	1688	1563	183	94	480	0	800	300	0	我就是恶魔，不过我老爸也是恶魔
63010113	恶梦之邪念	1	0	129	1	5	30876	0	0	1621	2328	1688	1563	183	94	480	0	800	300	1	一个意念就可以早就一场灾难
63010114	死亡召唤者	5	0	69	0	1	9421	312	635	0	0	662	568	91	45	700	200	1000	500	0	地狱中的死亡魔物
63010115	死亡暗杀者	1	0	69	0	4	9421	312	635	0	0	662	568	91	45	700	200	1000	500	0	地狱中的死亡魔物
63010116	红色怨念	43	0	69	0	4	9421	0	0	312	635	662	568	91	45	700	200	1000	500	0	地狱中的死亡魔物
63010117	黑暗守门人	41	0	72	1	2	85185	0	0	838	1135	724	621	93	48	480	0	800	300	0	拥有着强大力量的怪物，好像在守卫着什么东西。
63010118	参赛者	6	0	72	0	2	16002	0	0	358	725	801	687	97	48	700	200	800	0	0	皇家卫兵中的精英
63010119	参赛者	9	0	72	0	2	15003	0	0	388	725	801	687	97	48	700	200	800	0	0	皇家卫兵中的精英
63010120	兽族大巨	46	0	72	0	1	15904	0	0	388	765	801	687	97	48	700	200	1000	0	0	兽族基本近战步兵
63010121	兽族猎头	33	0	72	0	5	12304	0	0	428	775	801	687	97	48	700	200	1000	500	1	兽族远程兵种
63010122	施瓦新格	53	0	72	3	2	210000	0	0	725	750	0	0	148	81	300	0	700	500	0	兽族首领
63010123	兽族大巨	46	0	72	0	1	15904	0	0	388	765	801	687	97	48	700	200	1000	0	0	兽族基本近战步兵
63010124	普罗·克洛托的骷髅	15	0	84	3	1	320000	1200	1500	0	0	500	360	153	80	480	200	1000	200	0	英雄“普罗·克洛托”的骷髅
63010125	普罗·克洛托的灵魂	37	0	84	3	5	360000	0	0	1200	1500	500	360	183	120	700	200	1000	200	6	英雄“普罗·克洛托”的灵魂
63010126	怪异食人花	54	0	84	3	5	420000	0	0	1200	1500	500	360	173	51	700	200	1000	200	6	怪异的食人花
63010127	兽人弓箭手	33	0	108	0	5	36000	0	0	1900	2000	679	843	250	69	700	200	1000	200	1	兽族的神射手
63010128	兽人刀盾手	46	0	108	0	1	40000	1900	2000	0	0	843	679	250	69	700	200	1000	200	0	兽族的先锋队
63010129	兽人精英	19	0	108	1	1	100000	2000	2100	0	0	1000	1000	250	69	600	300	850	300	0	兽族的战斗中枢
63010130	施瓦新格	53	0	108	3	1	1080000	0	0	2200	2200	1300	1200	201	120	500	300	700	200	0	兽族的首领
63010131	战斗祭司	21	0	120	1	7	120	0	0	0	0	99999	99999	500	500	700	300	400	300	0	皇室派来帮助冒险者的祭司
63010132	邪恶祭司	47	0	180	0	6	240000	0	0	5400	5600	1805	1397	500	79	700	200	1000	500	6	整天都在研究禁术的人，也是最早被驱逐的
63010133	守卫剑士	24	0	180	0	1	310000	5500	5700	0	0	2097	1505	500	79	700	200	1000	500	0	如果剑士也有下岗的话，他们就是了
63010134	皇家护卫	6	0	180	1	1	500000	0	0	5800	6000	2308	1808	500	79	600	300	850	300	0	原先担任国王贴身护卫的人，不过被梅迪乌斯蛊惑变成了反叛者
63010135	梅迪乌斯	44	0	180	3	1	1800000	0	0	6301	7073	2946	2446	500	161	500	300	500	200	0	很有才华的阴谋家
63010136	王子	50	0	120	1	3	200	0	0	0	0	99999	99999	500	500	400	0	200	200	0	天知道为什么他可以做王子
63010137	骷髅雕像	1	0	120	0	11	1000	0	0	0	0	99999	99999	500	500	2000	2000	1000	60000	0	炮台
63010138	骷髅雕像	1	0	120	0	13	1000	0	0	0	0	99999	99999	500	500	2000	2000	1000	3000	0	炮台
63010139	骷髅雕像	1	0	120	0	14	1000	0	0	0	0	99999	99999	500	500	2000	2000	1000	60000	0	炮台
64010004	牛头军首领	53	0	60	3	7	500000	0	0	2100	2600	1450	1700	148	81	400	0	700	300	7	牛头怪都是强壮的
66666666	城市守卫	30	0	120	0	10	10000	8800	8900	0	0	100000	100000	10000	0	700	0	700	200	1	保卫城市的守卫
63010300	小偷	3	0	1	1	1	520	1	1	1	1	1	1	1000	1	480	0	1	1	0	你看不见我。
63010301	多眼魔	8	0	60	0	5	1040	0	0	87	151	53	45	38	6	700	200	1000	700	5	试炼专员
63010302	毒蝎	40	0	60	0	1	1362	0	0	155	247	77	66	38	6	700	200	1000	700	0	试炼专员
63010303	大跳蚤	7	0	60	0	1	1728	0	0	223	343	101	87	44	8	700	200	1000	700	0	试炼专员
63010304	海星	35	0	60	0	5	2132	0	0	291	439	114	97	46	8	700	200	1000	700	5	试炼专员
63010305	吓人球	10	0	60	0	5	2582	0	0	359	535	126	108	46	8	700	200	1000	700	5	试炼专员
63010306	蝙蝠	32	0	60	0	1	3074	0	0	427	631	147	127	46	8	700	200	1000	600	0	试炼专员
63010307	多眼血魔	23	0	70	0	5	3612	0	0	495	727	170	150	52	16	700	200	1000	600	5	试炼专员
63010308	树怪	31	0	70	0	1	4196	0	0	563	823	193	173	52	16	700	200	1000	200	0	试炼专员
63010309	枯萎的食人花	34	0	70	0	5	4828	0	0	631	919	248	228	56	18	700	200	1000	600	7	试炼专员
63010310	南瓜假面	39	0	70	0	1	5508	0	0	699	1015	271	251	56	18	700	200	1000	200	0	试炼专员
63010311	野人	3	0	70	0	1	6240	0	0	767	1111	284	264	70	19	700	200	1000	200	0	试炼专员
63010312	泥怪	36	0	70	0	1	7020	0	0	835	1207	347	327	70	19	700	200	1000	200	0	试炼专员
63010313	普通的士兵	6	0	80	0	1	7856	0	0	903	1303	374	354	72	21	700	200	1000	200	0	试炼专员
63010314	剑士	9	0	80	0	1	8742	0	0	971	1399	462	442	74	22	700	200	1000	200	0	试炼专员
63010315	石人	13	0	80	0	1	9686	0	0	1039	1495	438	378	78	24	700	200	1000	200	0	试炼专员
63010316	荒野僵尸	0	0	80	0	1	10684	0	0	1107	1591	537	477	78	24	700	200	1000	200	0	试炼专员
63010317	诅咒者	38	0	80	0	1	11740	0	0	1175	1687	629	569	91	30	700	200	1000	200	0	试炼专员
63010318	骷髅兵	5	0	80	0	1	12854	0	0	1243	1783	630	570	91	30	700	200	1000	200	0	试炼专员
63010319	死亡守护者	1	0	90	0	5	14028	0	0	1311	1879	689	629	120	30	700	200	1000	200	0	试炼专员
63010320	漂浮的幽灵	37	0	90	0	5	15262	0	0	1379	1975	752	692	154	31	700	200	1000	500	6	试炼专员
63010321	妖绿食人花	54	0	90	0	5	16560	0	0	1447	2071	802	742	167	33	700	200	1000	500	7	试炼专员
63010322	巨毒蝙蝠	55	0	90	0	1	17918	0	0	1515	2167	842	782	107	33	700	200	1000	200	0	试炼专员
63010323	小怪物	41	0	90	0	1	19344	0	0	1583	2263	884	824	107	33	700	200	1000	200	0	试炼专员
63010324	妖魂	42	0	90	0	1	20832	0	0	1651	2359	926	866	113	36	700	200	1000	200	0	试炼专员
63010325	隐鼠	2	0	100	0	1	22390	0	0	1719	2455	1027	967	114	36	700	200	1000	200	0	试炼专员
63010326	带毒僵尸	17	0	100	0	1	24014	0	0	1787	2551	1068	968	114	36	700	200	1000	200	0	试炼专员
63010327	血骷髅	15	0	100	0	1	25708	0	0	1855	2647	1110	1010	116	37	700	200	1000	200	0	试炼专员
63010328	巨毒骷髅弓箭手	16	0	100	0	5	27472	0	0	1923	2743	1220	1120	161	45	700	200	1000	500	1	试炼专员
63010329	海蓝骷髅战士	20	0	100	0	1	29308	0	0	1991	2839	1323	1223	131	45	700	200	1000	200	0	试炼专员
63010330	血之骷髅弓箭手	43	0	100	0	5	31216	0	0	2059	2935	1448	1348	187	48	700	200	1000	500	1	试炼专员
63010331	铁怪	14	0	110	0	1	33200	0	0	2127	3031	1444	1344	147	48	700	200	1000	200	0	试炼专员
63010332	火人	11	0	110	0	1	35256	0	0	2195	3127	1489	1389	149	48	700	200	1000	200	0	试炼专员
63010333	火焰巨人	12	0	110	0	1	37392	0	0	2263	3223	1534	1434	149	48	700	200	1000	200	0	试炼专员
63010334	鬼火	26	0	110	0	1	39602	0	0	2331	3319	1589	1489	153	51	700	200	1000	200	0	试炼专员
63010335	火焰领主	27	0	110	0	1	41894	0	0	2399	3415	1670	1570	153	51	700	200	1000	200	0	试炼专员
63010336	铁怪弓箭手	22	0	110	0	5	44264	0	0	2467	3511	1696	1546	195	52	700	200	1000	500	1	试炼专员
63010337	金怪	48	0	120	0	1	46716	0	0	2535	3607	1741	1591	159	54	700	200	1000	200	0	试炼专员
63010338	蓝紫巨人	28	0	120	0	1	49250	0	0	2603	3703	1785	1635	178	63	700	200	1000	200	0	试炼专员
63010339	燃烧铁怪	29	0	120	0	1	51868	0	0	2671	3799	1830	1680	178	63	700	200	1000	200	0	试炼专员
63010340	亚玛逊战士	47	0	120	0	2	54570	0	0	2739	3895	1921	1771	184	66	700	200	1000	200	0	试炼专员
63010341	迷你野蛮人	19	0	120	0	2	57360	0	0	2807	3991	1966	1816	194	66	700	200	1000	200	0	试炼专员
63010342	雪域卫兵	21	0	120	0	2	60234	0	0	2875	4087	2012	1862	195	66	700	200	1000	100	0	试炼专员
63010343	雪域剑士	24	0	130	0	2	63200	0	0	2943	4183	2055	1905	195	66	700	200	1000	100	0	试炼专员
63010344	精灵护守者	18	0	130	0	2	66252	0	0	3011	4279	2101	1951	198	67	700	200	1000	100	0	试炼专员
63010345	高级弩箭兵	50	0	130	0	5	69398	0	0	3079	4375	2192	2042	220	69	700	200	1000	500	1	试炼专员
63010346	兽人弓箭手	33	0	130	0	5	72634	0	0	3147	4471	2219	2009	222	70	700	200	1000	500	1	试炼专员
63010347	战斗矮人	45	0	130	0	2	75964	0	0	3215	4567	2317	2107	225	72	700	200	1000	100	0	试炼专员
63010348	兽人战士	46	0	130	0	2	79388	0	0	3283	4663	2379	2169	228	75	700	200	1000	100	0	试炼专员
63010349	亚玛逊弓箭手	25	0	130	0	5	82908	0	0	3351	4759	2449	2239	231	77	700	0	1000	500	1	试炼专员
63010350	皇家狮鹫骑士	44	0	130	0	2	86524	0	0	3419	4855	2553	2343	232	79	700	0	1000	100	0	试炼专员
63020001	吓人球头领	10	0	12	1	5	17500	0	0	382	445	378	324	86	68	480	0	800	300	5	试炼专员
63020002	南瓜假面头领	39	0	24	1	1	37200	0	0	1104	1348	387	330	92	76	480	0	800	300	0	试炼专员
63020003	石人头领	13	0	36	1	1	76216	0	0	1572	1892	669	576	104	84	480	0	800	300	0	试炼专员
63020004	漂浮的幽灵头领	37	0	48	1	5	109648	0	0	1944	2523	1377	1179	134	100	480	0	800	300	6	试炼专员
63020005	隐鼠头领	2	0	60	1	1	141939	0	0	2417	3104	1776	1521	145	104	480	0	800	300	0	试炼专员
63020006	血之诅咒	43	0	72	3	5	300000	0	0	3159	3499	1931	1563	146	135	500	100	700	300	1	试炼boss
63020007	火焰之魂	27	0	84	3	1	400000	0	0	5388	5650	2465	2104	162	176	500	100	700	300	0	试炼boss
63020008	亚马逊族长	47	0	96	3	1	500000	0	0	5817	6301	2599	2345	174	184	500	100	700	300	0	试炼boss
63020009	明斯克	50	0	108	3	5	600000	0	0	7546	7952	2833	1886	181	192	500	100	700	300	1	试炼boss
63020010	新德里	44	0	120	3	1	700000	0	0	7975	8203	3267	3027	181	201	500	100	700	300	0	试炼boss
63010217	精灵卫兵	49	0	117	1	5	52000	52000	52000	10000	10000	5200	5200	1000	1000	700	0	1000	500	1	王者之殿的守卫者
63010218	牛头守卫	53	0	150	1	2	8100000	65000	65000	10000	10000	30000	30000	1000	1000	600	0	1000	600	0	王者之殿的守卫者
63010219	医师·林肯	6	0	14	1	4	70	0	0	0	0	90000	90000	1000	1000	300	0	700	300	0	优秀的医师,会使用加血和加魔法技能，同时会帮你驱除身上的有害魔法。
63010220	地底吞噬者	41	0	90	0	1	19200	0	0	1272	1804	1056	960	184	66	700	200	1000	500	0	生活在地底的怪物
63010221	地底吞噬者头领	41	0	105	3	3	115200	0	0	1972	2804	1921	1771	184	66	480	200	700	500	0	生活在地底的怪物
63010140	圣诞小偷	35	0	100	1	4	800	0	0	1	1	100000	100000	1000	0	300	200	200	200	5	你看我不到
63010141	圣诞小偷	19	0	100	1	1	800	0	0	1	1	100000	100000	1000	0	300	200	200	200	0	你看我不到
63010142	圣诞小偷头领	51	0	100	3	1	8000	0	0	1	1	100000	100000	1000	0	300	200	200	200	0	打……捷~~！**、**、***……统统告诉我密码
63010143	无双·深渊试炼	47	0	0	3	1	44	0	0	1	1	100000	100000	1000	0	300	0	200	200	0	我叫朱丽叶
63010421	黑夜魔王	57	0	120	3	7	1800000	0	0	4000	7000	3000	2500	1000	200	400	200	400	200	5	统治黑夜的魔王
