编号	名字	任务目标类型	附带道具	可否放弃任务	可否重复接受	接任务所需物品	种族限制(-1表示无限制)	最小等级限制	最大等级限制	有效时间(分钟)	任务接受间隔(分)	目标数字数据	目标文字数据	完成任务目标值	经验奖励	元宝奖励	金钱奖励	物品奖励	任务目标描叙	任务奖励描叙	任务帮助/提示信息
10002050	消灭烈火元素	2	0	1	1	0	-1	84	255	0	1440	0	烈火元素	125	0	0	54800	0	消灭125只烈火元素	任务奖励54800金币	烈火元素在夏亚地道和塔魔尼幻境出没。
10002051	消灭骷髅战士	2	0	1	1	0	-1	96	255	0	1440	0	骷髅战士	130	0	0	59600	0	消灭130只骷髅战士	任务奖励59600金币	骷髅战士在塔魔尼幻境出没
10002052	消灭鬼将	2	0	1	1	0	-1	108	255	0	1440	0	鬼将	135	0	0	66800	0	消灭135只鬼将	任务奖励66800金币	鬼将在塔魔尼幻境出没
10002053	帮助“阿西娜”收集物品	1	0	1	1	0	-1	5	255	0	1440	1333010200	0	6	0	0	6800	0	收集6个“多目怪的眼睛”	任务奖励6800金币	“阿西娜”需要一些“多目怪的眼睛”来制作一些魔法药
10002054	帮助“卡拉奇”收集物品	1	0	1	1	0	-1	12	255	0	1440	1333011500	0	8	0	0	14000	0	收集8个“野蛮人的战利品”	任务奖励14000金币	“卡拉奇”喜欢收集，找8个“野蛮人的战利品”交给他。
10002055	帮“谢里尔”一起消灭树精	2	0	1	1	0	-1	24	255	0	1440	0	树精	100	0	0	21200	0	消灭100只“树精”	任务奖励21200金币	“谢里尔”似乎遇到点小麻烦，帮他解围一下。
10002056	帮助“克莱儿”收集物品	1	0	1	1	0	-1	36	255	0	1440	1333011700	0	6	0	0	28400	0	收集6个“食人花之心”	任务奖励28400金币	“克莱儿”是个药剂师，送她6个“食人花之心”，对她比较有用。
10002057	帮助“奥德丽”收集物品	1	0	1	1	0	-1	48	255	0	1440	1333011100	0	6	0	0	33200	0	收集6个“断剑”	任务奖励33200金币	“奥德丽”正在收集断剑
10002058	帮“艾琳”一起消灭剧毒跳蚤	2	0	1	1	0	-1	60	255	0	1440	0	剧毒跳蚤	115	0	0	42800	0	消灭115只“剧毒跳蚤”	任务奖励42800金币	帮助“艾琳”消灭剧毒跳蚤，会有报酬。
10002059	帮“盖尔”一起消灭卫兵	2	0	1	1	0	-1	72	255	0	1440	0	卫兵	120	0	0	47600	0	消灭120个“卫兵”	任务奖励47600金币	帮助“盖尔”消灭120个卫兵
10002060	帮“胡尔达”一起消灭深渊恶魔	2	0	1	1	0	-1	84	255	0	1440	0	深渊恶魔	125	0	0	54800	0	消灭125只“深渊恶魔”	任务奖励54800金币	“胡尔达”似乎接到了消灭深渊恶魔的任务，帮他一起消灭，会分到一些报酬
10002061	帮“多明尼卡”一起消灭尸兵	2	0	1	1	0	-1	96	255	0	1440	0	尸兵	130	0	0	59600	0	消灭130只“尸兵”	任务奖励59600金币	“多明尼卡”在塔魔尼地宫二层寻宝，但他被一些尸兵缠上了。
10002062	帮“多洛雷斯”一起消灭怨灵	2	0	1	1	0	-1	108	255	0	1440	0	怨灵	135	0	0	66800	0	消灭135只“怨灵”	任务奖励66800金币	“多洛雷斯”在塔魔尼地宫五层寻宝，帮你消灭一些怨灵，他会给你报酬。
10003001	仓库管理员的教导	0	1313000100	0	0	0	0	0	255	0	0	0	0	0	50	0	0	1130000100	与新迪岛上的仓库管理员对话	任务奖励50经验,0级鞋子	仓库管理员在新迪岛的西北部
10003002	防具商人的教导	0	1313000100	0	0	0	0	0	255	0	0	0	0	0	60	0	0	1110000100	与新迪岛上的防具商人对话	任务奖励60经验，0级衣服	防具商人在新迪岛的东北部
10003003	武器商人的教导	0	0	0	0	0	0	0	255	0	0	0	0	0	70	0	0	1210000100	与新迪岛上的武器商人对话	任务奖励70经验，0级武器	武器商人在新迪岛的东北部
10003004	奸商的教导	0	0	0	0	0	0	0	255	0	0	0	0	0	80	0	0	1120000100	与新迪岛上的奸商对话	任务奖励80经验，0级帽子	奸商在新迪岛的东部
10003005	智慧老人的教导	0	0	0	0	0	0	0	255	0	0	0	0	0	90	0	0	1320000100	与新迪岛上的智慧老人对话	任务奖励90经验，技能书	智慧老人在新迪岛的南部
10003006	修女的教导	0	0	0	0	0	0	0	255	0	0	0	0	0	100	0	0	1320000200	与新迪岛上的修女对话	任务奖励100经验，技能书	修女在新迪岛的南部
10003007	传送使者的教导	0	0	0	0	0	0	0	255	0	0	0	0	0	120	0	100	0	与新迪岛上的传送使者对话	任务奖励120经验，100金币	传送使者在新迪岛的西部
10003011	仓库管理员的教导	0	1313000100	0	0	0	1	0	255	0	0	0	0	0	50	0	0	1131000100	与新迪岛上的仓库管理员对话	任务奖励50经验,0级鞋子	仓库管理员在新迪岛的西北部
10003012	防具商人的教导	0	1313000100	0	0	0	1	0	255	0	0	0	0	0	60	0	0	1111000100	与新迪岛上的防具商人对话	任务奖励60经验，0级衣服	防具商人在新迪岛的东北部
10003013	武器商人的教导	0	0	0	0	0	1	0	255	0	0	0	0	0	70	0	0	1221000100	与新迪岛上的武器商人对话	任务奖励70经验，0级武器	武器商人在新迪岛的东北部
10003014	奸商的教导	0	0	0	0	0	1	0	255	0	0	0	0	0	80	0	0	1121000100	与新迪岛上的奸商对话	任务奖励80经验，0级帽子	奸商在新迪岛的东部
10003015	智慧老人的教导	0	0	0	0	0	1	0	255	0	0	0	0	0	90	0	0	1321000100	与新迪岛上的智慧老人对话	任务奖励90经验，技能书	智慧老人在新迪岛的南部
10003016	修女的教导	0	0	0	0	0	1	0	255	0	0	0	0	0	100	0	0	1321000200	与新迪岛上的修女对话	任务奖励100经验，技能书	修女在新迪岛的南部
10003017	传送使者的教导	0	0	0	0	0	1	0	255	0	0	0	0	0	120	0	100	0	与新迪岛上的传送使者对话	任务奖励120经验，100金币	传送使者在新迪岛的西部
10003021	仓库管理员的教导	0	1313000100	0	0	0	2	0	255	0	0	0	0	0	50	0	0	1132000100	与新迪岛上的仓库管理员对话	任务奖励50经验,0级鞋子	仓库管理员在新迪岛的西北部
10003022	防具商人的教导	0	1313000100	0	0	0	2	0	255	0	0	0	0	0	60	0	0	1112000100	与新迪岛上的防具商人对话	任务奖励60经验，0级衣服	防具商人在新迪岛的东北部
10003023	武器商人的教导	0	0	0	0	0	2	0	255	0	0	0	0	0	70	0	0	1232000100	与新迪岛上的武器商人对话	任务奖励70经验，0级武器	武器商人在新迪岛的东北部
10003024	奸商的教导	0	0	0	0	0	2	0	255	0	0	0	0	0	80	0	0	1122000100	与新迪岛上的奸商对话	任务奖励80经验，0级帽子	奸商在新迪岛的东部
10003025	智慧老人的教导	0	0	0	0	0	2	0	255	0	0	0	0	0	90	0	0	1322000100	与新迪岛上的智慧老人对话	任务奖励90经验，技能书	智慧老人在新迪岛的南部
10003026	修女的教导	0	0	0	0	0	2	0	255	0	0	0	0	0	100	0	0	1322000200	与新迪岛上的修女对话	任务奖励100经验，技能书	修女在新迪岛的南部
10003027	传送使者的教导	0	0	0	0	0	2	0	255	0	0	0	0	0	120	0	100	0	与新迪岛上的传送使者对话	任务奖励120经验，100金币	传送使者在新迪岛的西部
10003030	城市守卫队长的教导	0	1333050020	0	0	0	-1	30	255	0	0	0	0	0	0	0	0	0	与城市守卫队长对话	任务奖励：1小时“在线挂机宝石”	和城市守卫队长聊聊，会得到一些礼品哦。
10003031	珠宝商的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	150	0	0	1333050022	与珠宝商对话	任务奖励150经验，1小时“双倍经验宝石”	和珠宝商聊聊，会得到一些礼品哦。
10003032	锻造匠师的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	160	0	0	1333050023	与锻造匠师对话	任务奖励160经验，生命之源	和锻造匠师聊聊，会得到一些礼品哦。
10003033	城市守卫队长的教导	2	0	0	0	0	-1	0	255	0	0	0	多目怪	3	140	0	0	1333050021	消灭3只多目怪	任务奖励140经验，复活药水	灌木丛外面有一些多目怪活动
10003040	宠物介绍员的教导	0	1633040011	0	0	0	-1	0	255	0	0	0	0	0	60	0	0	1633040011	与宠物介绍员对话	任务奖励60经验,小喇叭	了解宠物系统相关信息
10003041	套装介绍员的教导	0	1633040011	0	0	0	-1	0	255	0	0	0	0	0	90	0	0	1633040011	与套装介绍员对话	任务奖励90经验，小喇叭	了解套装系统相关信息
10003042	合成介绍员的教导	0	1633040011	0	0	0	-1	0	255	0	0	0	0	0	160	0	0	1633040011	与合成介绍员对话	任务奖励160经验，小喇叭	了解套装合成相关信息
10003043	技能介绍员的教导	0	1633040011	0	0	0	-1	0	255	0	0	0	0	0	250	0	0	1633040011	与技能介绍员对话	任务奖励250经验，小喇叭	了解转生技能相关信息
10003044	新手礼品	2	0	0	0	0	0	20	255	0	0	0	试炼指导员	1	0	0	0	1210030508	打败“试炼指导员”	任务奖励：48完美武器+8	跟那亚村的礼品使者对话，可以进入“试炼之地”。打败里面的“试炼指导员”就可以得到奖励。
10003045	新手礼品	2	0	0	0	0	1	20	255	0	0	0	试炼指导员	1	0	0	0	1221030508	打败“试炼指导员”	任务奖励：48完美武器+8	跟那亚村的礼品使者对话，可以进入“试炼之地”。打败里面的“试炼指导员”就可以得到奖励。
10003046	新手礼品	2	0	0	0	0	2	20	255	0	0	0	试炼指导员	1	0	0	0	1232030508	打败“试炼指导员”	任务奖励：48完美武器+8	跟那亚村的礼品使者对话，可以进入“试炼之地”。打败里面的“试炼指导员”就可以得到奖励。
10003047	20级引导任务	0	0	0	0	0	-1	20	255	0	0	0	0	0	0	0	0	1333050022	跟“修女”谈谈	任务奖励：双倍经验宝石，活动赎罪之水	跟“试炼之地”地图中的“修女”NPC聊聊，就可以得到奖励。
10003048	20级引导任务	0	1333050033	0	0	0	-1	20	255	0	0	0	0	0	0	0	0	1333001800	跟“奸商”谈谈	任务奖励：1号副本卷轴	跟“试炼之地”地图中的“奸商”NPC聊聊，就可以得到奖励。
10003049	20级引导任务	0	0	0	0	0	-1	20	255	0	0	0	0	0	0	0	0	1333050024	跟“智慧老人”谈谈	任务奖励：魔力之源	跟“试炼之地”地图中的“智慧老人”NPC聊聊，就可以得到奖励。
10003050	40级引导任务	0	0	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1333050028	跟“酷洛队长”拿礼品	任务奖励：生命之源	跟贝伦城的“礼品使者”对话，可以进“安静的舞台”，在里面可以找到“酷洛队长”。
10003051	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060001	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“晚礼服”。
10003052	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060002	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“秋香袍”。
10003053	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060003	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“清爽佳丽”。
10003054	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060004	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“辣妹装”。
10003055	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060005	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“火玫瑰”。
10003056	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060006	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“崇尚自由”。
10003057	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060007	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“状元袍”。
10003058	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060008	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“暗夜伯爵”。
10003059	40级引导任务	0	1333050020	0	0	0	-1	40	255	0	0	0	0	0	0	0	0	1900060009	跟“酷洛队长”拿礼品	任务奖励：在线挂机宝石和时装	找酷洛队长领取时装“暗黑审判者”。
10003060	40级引导任务	0	1333050026	0	0	0	0	40	255	0	0	0	0	0	0	0	0	1210020503	跟“酷洛队长”拿礼品	任务奖励：离线挂机宝石和极品卓越长弓+3	跟酷洛队长聊聊可以得到礼品
10003061	40级引导任务	0	1333050026	0	0	0	1	40	255	0	0	0	0	0	0	0	0	1221020503	跟“酷洛队长”拿礼品	任务奖励：离线挂机宝石和极品怒涛杖+3	跟酷洛队长聊聊可以得到礼品
10003062	40级引导任务	0	1333050026	0	0	0	2	40	255	0	0	0	0	0	0	0	0	1232020503	跟“酷洛队长”拿礼品	任务奖励：离线挂机宝石和极品破军剑+3	跟酷洛队长聊聊可以得到礼品
10003063	60级引导任务	0	1210020602	0	0	0	0	60	255	0	0	0	0	0	0	0	0	1333050027	找“礼品使者”拿礼品	任务奖励：极品圣殿长弓+2和礼品藏宝图	找暗精镇的礼品使者，领取60级的赠送礼品。
10003064	60级引导任务	0	1221020602	0	0	0	1	60	255	0	0	0	0	0	0	0	0	1333050027	找“礼品使者”拿礼品	任务奖励：极品烈焰杖+2和礼品藏宝图	找暗精镇的礼品使者，领取60级的赠送礼品。
10003065	60级引导任务	0	1232020602	0	0	0	2	60	255	0	0	0	0	0	0	0	0	1333050027	找“礼品使者”拿礼品	任务奖励：极品杀戮之剑+2和礼品藏宝图	找暗精镇的礼品使者，领取60级的赠送礼品。
20000053	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1110020700	找“科威特”换取装备	奖励：极品天鹰皮甲	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000054	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1130020700	找“科威特”换取装备	奖励：极品天鹰皮靴	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000055	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1120020700	找“科威特”换取装备	奖励：极品天鹰头饰	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000040	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1111020700	找“科威特”换取装备	奖励：极品祝福法袍	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000041	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1131020700	找“科威特”换取装备	奖励：极品祝福鞋	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000042	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1121020700	找“科威特”换取装备	奖励：极品祝福帽	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000043	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1112020700	找“科威特”换取装备	奖励：极品荣誉铠甲	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000044	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1132020700	找“科威特”换取装备	奖励：极品荣誉之靴	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000045	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1122020700	找“科威特”换取装备	奖励：极品荣誉头盔	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000046	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050100	0	1	0	0	0	1142020700	找“科威特”换取装备	奖励：极品胜利之盾	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000047	天工石回收任务	1	0	1	1	1333020101	-1	60	255	0	0	1333020101	0	1	0	0	0	1433000809	回收天工石	奖励：五级天晶石	找“回收使者”以天工石换取“五级天晶石”
20000048	起源宝石回收任务	1	0	1	1	1333020500	-1	60	255	0	0	1333020500	0	1	0	0	0	1333020200	回收起源宝石	奖励：祈祷宝石	找“回收使者”以起源宝石换取“祈祷宝石”
20000049	高级灵魂宝石回收任务	1	0	1	1	1333020600	-1	60	255	0	0	1333020600	0	1	0	0	0	1333020200	回收高级灵魂宝石	奖励：祈祷宝石	找“回收使者”以起源宝石换取“祈祷宝石”
20000050	高级祝福宝石回收任务	1	0	1	1	1333020300	-1	60	255	0	0	1333020300	0	1	0	0	0	1333020200	回收高级祝福宝石	奖励：祈祷宝石	找“回收使者”以起源宝石换取“祈祷宝石”
20000051	中级祝福宝石回收任务	1	0	1	1	1333020301	-1	60	255	0	0	1333020301	0	1	0	0	0	1613000034	回收中级祝福	奖励：32万血的生命之源	找“回收使者”以起源宝石换取“生命之源”
20000052	中级灵魂宝石回收任务	1	0	1	1	1333020601	-1	60	255	0	0	1333020601	0	1	0	0	0	1613000034	回收中级灵魂宝	奖励：32万血的生命之源	找“回收使者”以起源宝石换取“生命之源”
20000057	危机（主线任务）	2	0	0	0	0	-1	96	255	0	0	0	地底吞噬者	70	600000	0	400000	1333050102	消灭70个地底吞噬者	奖励：600000经验，400000金币，英雄勋章	跟修女对话，进入夏基亚城地下的避难所，消灭潜伏在那里的地底吞噬者。
20000058	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050102	0	1	0	0	0	1210020905	找“科威特”换取装备	奖励：极品穿云弓+5	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000059	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050102	0	1	0	0	0	1221020905	找“科威特”换取装备	奖励：极品圣光之杖+5	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000060	装备换取证明	1	0	1	1	0	-1	60	255	0	0	1333050102	0	1	0	0	0	1232020905	找“科威特”换取装备	奖励：极品血腥之剑+5	装备换取证明，可以找“科威特”以战斗勋章换取相应装备。
20000070	领主的委托(108级主线)	0	0	0	0	0	-1	108	255	0	0	0	0	0	1000000	0	500000	1633082001	和领主-梵高对话完成任务	奖励：1000000经验,500000金币,生命之源1个,复活药水5个,5级天晶石2个,小喇叭2个	在“西西里岛”击杀“施瓦新格”之后会出现领主-梵高。
20000061	永恒的约定（120主线任务）	2	0	0	0	0	-1	120	255	0	0	1333050100	梅迪乌斯	1	0	10	50000	0	消灭梅迪乌斯	奖励：10元宝+5万金币	先找到王子，和他一起去消灭梅迪乌斯。
